,F1,F1_ORGINAL,F2,centering,czy_ostatnie,index,l1,l2sens,realization,set,target
37,Adamowi myć samochód pomógł Staś.,Staś pomógł Adamowi myć samochód.,"On wiedział, że prawdopodobnie Staś będzie chciał zapłatę.",noncentered,0.0,82.0,16.0,9.0,pronoun,14,target
38,Marcin starał się uspokoić Magdalenę.,Marcin starał się uspokoić Magdalenę.,"Dla Marcina w miarę postępów było coraz jaśniejsze, dlaczego to Magdalena.",filler8,,,,,noun,nonsensible,filler8
39,Łatkę pogłaskała po głowie Werka.,Werka pogłaskała Łatkę po głowie.,"Ona zawsze przychodziła, gdy chciała, żeby Werka się nią zajęła.",noncentered,0.0,46.0,20.0,13.0,pronoun,8,target
40,Dawid marzył o dorównaniu Paulinie.,Dawid marzył o dorównaniu Paulinie.,"Gdy Dawid wchodził po schodach, Paulina patrzyła uważnie.",filler10,,,,,noun,nonsensible,filler10
41,Z Leszkiem bardzo pokłócił się Jurek.,Jurek bardzo pokłócił się z Leszkiem.,"On nie mógł zrozumieć, dlaczego nie może przekonać Leszka do swojego zdania.",centered,0.0,139.0,24.0,13.0,pronoun,24,target
42,Z Olą na imprezę poszedł Szczepan.,Z Olą na imprezę poszedł Szczepan.,Według Szczepana największe szanse w maratonie ma Ola.,filler19,,,,,noun,nonsensible,filler19
43,"Paula wiedziała, na co może liczyć ze strony Łucji.","Paula wiedziała, na co może liczyć ze strony Łucji.",Dla niej najważniejszy był ulubiony grzebień Łucji.,filler3,,,,,pronoun,nonsensible,filler3
44,Od Niny rower pożyczyła Sonia.,Sonia pożyczyła rower od Niny.,"Miała później wyrzuty sumienia, ponieważ przez to Nina spóźniła się do pracy.",centered,0.0,168.0,19.0,15.0,null,29,target
45,Rafałowi dziecko urodziła Maja.,Rafałowi dziecko urodziła Maja.,Oboje byli bardzo szczęśliwi.,filler35,,,,,filler,sensible,filler35
46,Maćka z wściekłością wyrzucił z pokoju Bartek.,Bartek z wściekłością wyrzucił Maćka z pokoju.,"On szybko się denerwował, gdy Maciek przeszkadzał mu w pracy.",centered,0.0,49.0,18.0,9.0,pronoun,9,target
47,Po Konradzie cały spadek odziedziczyła Irena.,Po Konradzie cały spadek odziedziczyła Irena.,Stała się z dnia na dzień obrzydliwie bogata.,filler30,,,,,filler,sensible,filler30
48,Pawła dłoń uścisnął na koniec Wiktor.,Wiktor uścisnął na koniec dłoń Pawła.,"Zastanawiał się, czy to dobrze, że sprzedał Wiktorowi motocykl.",noncentered,0.0,39.0,19.0,12.0,null,7,target
49,Prosiaczek lubił jeść z Puchatkiem miód.,Prosiaczek lubił jeść z Puchatkiem miód.,"On często ziewał, gdy Puchatek wchodził na drzewo.",filler14,,,,,pronoun,nonsensible,filler14
50,Za Sonię pozmywała naczynia Marysia.,Marysia pozmywała naczynia za Sonię.,"Marysia musi się nauczyć, żeby nie robić wszystkiego za Sonię.",centered,1.0,98.0,20.0,0.0,noun,17,target
51,Teresa wrzuciła do skrytki Marty banknot.,Teresa wrzuciła do skrytki Marty banknot.,"Ona była zawsze umalowana, czego zazdrościła jej Marta.",filler5,,,,,pronoun,nonsensible,filler5
52,Od Kacpra wiadomość przeczytał Adrian.,Adrian przeczytał wiadomość od Kacpra.,"Kacper nie może jednak wyjść z pracy wcześniej, by spotkać się teraz z Adrianem.",noncentered,1.0,167.0,22.0,0.0,noun,28,target
53,Bezpieczeństwo Oli było najważniejsze dla Radka.,Bezpieczeństwo Oli było najważniejsze dla Radka.,Dlatego wysłał ją na kurs samoobrony.,filler22,,,,,filler,sensible,filler22
54,Kuby zeszyt znalazł w szatni Tomek.,Tomek znalazł w szatni zeszyt Kuby.,"On ucieszył się, bo już dawno temu miał go zwrócić Kubie.",centered,1.0,19.0,17.0,13.0,pronoun,4,target
55,Tomek zaplanował wyjazd z Magdą.,Tomek zaplanował wyjazd z Magdą.,"Jakby Tomek nie zjadł pączka, to Magda nie byłaby zła.",filler17,,,,,noun,nonsensible,filler17
56,Z Klarą nie jest w stanie skontaktować się Lena.,Lena nie jest w stanie skontaktować się z Klarą.,"Przynajmniej od tygodnia ma zepsuty telefon, więc nie dziwne, że Lena nie może się dodzwonić.",noncentered,0.0,159.0,30.0,24.0,null,27,target
57,Mariuszowi dom pomogła sprzątnąć Ula.,Mariuszowi dom pomogła sprzątnąć Ula.,Sam by sobie nie poradził z tym bałaganem.,filler40,,,,,filler,sensible,filler40
58,Z Mikołajem postanowił ścigać się Witold.,Witold postanowił ścigać się z Mikołajem.,"On nie był dziś w formie, a mimo to udało mu się wygrać z Witoldem.",noncentered,1.0,130.0,22.0,19.0,pronoun,22,target
59,Z Marianką zaprzyjaźniła się Lilka.,Z Marianką zaprzyjaźniła się Lilka.,Lubiły bawić się razem lalkami.,filler37,,,,,filler,sensible,filler37
60,Klarze podziękowania przesłała e-mailem Grażyna.,Grażyna przesłała e-mailem Klarze podziękowania.,"Grażyna cieszyła się, że udało się jej szczerze porozmawiać z Klarą.",centered,1.0,26.0,22.0,0.0,noun,5,target
61,Jan nie był w stanie wysłać Tadkowi czeku.,Jan nie był w stanie wysłać Tadkowi czeku.,"On był tak dumny, że Tadek mógł to zrobić.",filler1,,,,,pronoun,nonsensible,filler1
62,Z Hubertem nie lubi pracować Marcin.,Marcin nie lubi pracować z Hubertem.,"Marcin często bardzo się złości, gdy Marcin stara się mu pomóc.",noncentered,0.0,95.0,16.0,0.0,noun,16,target
63,Dla Marii codziennie pisał wiersze Tadeusz.,Dla Marii codziennie pisał wiersze Tadeusz.,Według niego najważniejsze było śpiewanie piosenek dla Marii.,filler13,,,,,pronoun,nonsensible,filler13
64,Z Krysią na spacer wyszła Ada.,Ada wyszła z Krysią na spacer.,"Zebrała się wreszcie na odwagę, by wszystko wyznać Krysi.",centered,1.0,120.0,15.0,17.0,null,21,target
65,Zrozpaczona Zosia przytuliła się do Maćka.,Zrozpaczona Zosia przytuliła się do Maćka.,"Zosia przeczytała ""Lalkę"", którą Maciek omawiał na lekcji.",filler20,,,,,noun,nonsensible,filler20
66,Wojtka przy przejściu dla pieszych zobaczył Darek.,Darek zobaczył Wojtka przy przejściu dla pieszych.,"On zamachał energicznie, by zwrócić uwagę Wojtka.",centered,1.0,109.0,16.0,14.0,pronoun,19,target
67,Franciszkę znowu zdradził Olek.,Franciszkę znowu zdradził Olek.,Nie mogła sobie z tym poradzić.,filler38,,,,,filler,sensible,filler38
68,Natalii wielki bukiet róż kupiła Marta.,Marta kupiła Natalii wielki bukiet róż.,"Natalia była zaskoczona, że choć się nie lubią, to Marta zdobyła się na taki gest.",noncentered,0.0,89.0,24.0,0.0,noun,15,target
69,Mateusz zaraził się grypą od Adriana.,Mateusz zaraził się grypą od Adriana.,Żaden z nich nie był zaszczepiony.,filler29,,,,,filler,sensible,filler29
