,F1,F1_ORGINAL,F2,centering,czy_ostatnie,index,l1,l2sens,realization,set,target
22,Maćka z wściekłością wyrzucił z pokoju Bartek.,Bartek z wściekłością wyrzucił Maćka z pokoju.,"Szybko się denerwował, gdy Maciek przeszkadzał mu w pracy.",centered,0.0,48.0,17.0,8.0,null,9,target
23,Zuzia była najlepszą przyjaciółką Justyny.,Zuzia była najlepszą przyjaciółką Justyny.,Wszystko robiły razem i zawsze były ze sobą zgodne.,filler28,,,,,filler,sensible,filler28
24,Od Ani pracę domową przepisała Olga.,Olga przepisała pracę domową od Ani.,"Ania nie podejrzewała, jakie nieprzyjemności będzie miała z tego powodu Olga.",noncentered,1.0,137.0,27.0,0.0,noun,23,target
25,Prosiaczek lubił jeść z Puchatkiem miód.,Prosiaczek lubił jeść z Puchatkiem miód.,"On często ziewał, gdy Puchatek wchodził na drzewo.",filler14,,,,,pronoun,nonsensible,filler14
26,Malwinę w gniewie zepchnęła ze schodów Sylwia.,Sylwia w gniewie zepchnęła Malwinę ze schodów.,"Malwina doskonale wiedziała, dlaczego Sylwia to zrobiła.",noncentered,0.0,35.0,20.0,0.0,noun,6,target
27,Teresa wrzuciła do skrytki Marty banknot.,Teresa wrzuciła do skrytki Marty banknot.,"Ona była zawsze umalowana, czego zazdrościła jej Marta.",filler5,,,,,pronoun,nonsensible,filler5
28,Oli o wypadku powiedziała w sekrecie Basia.,Basia w sekrecie powiedziała Oli o wypadku.,"Wie, że nie dotrzymała tajemnicy, wszystko mówiąc Oli.",centered,1.0,114.0,17.0,15.0,null,20,target
29,Zosia nie potrafiła doradzić Lucynie.,Zosia nie potrafiła doradzić Lucynie.,Problem ten był dla niej zbyt skomplikowany.,filler25,,,,,filler,sensible,filler25
30,Z Leszkiem bardzo pokłócił się Jurek.,Jurek bardzo pokłócił się z Leszkiem.,"Jurek nie mógł zrozumieć, dlaczego nie może przekonać Leszka do swojego zdania.",centered,0.0,140.0,25.0,0.0,noun,24,target
31,Franciszkę znowu zdradził Olek.,Franciszkę znowu zdradził Olek.,Nie mogła sobie z tym poradzić.,filler38,,,,,filler,sensible,filler38
32,Z Krzysztofem w szachy tym razem wygrał Jan.,Jan wygrał tym razem w szachy z Krzysztofem.,"On często miał problem, gdy Jan grał białymi.",noncentered,0.0,16.0,12.0,7.0,pronoun,3,target
33,Zrozpaczona Zosia przytuliła się do Maćka.,Zrozpaczona Zosia przytuliła się do Maćka.,"Zosia przeczytała ""Lalkę"", którą Maciek omawiał na lekcji.",filler20,,,,,noun,nonsensible,filler20
34,Nad Grzesiem często znęcał się Rafał.,Rafał często znęcał się nad Grzesiem.,On przez całą drogę do domu przedrzeźniał Grzesia.,centered,1.0,67.0,14.0,9.0,pronoun,12,target
35,Krzysztof postanowił zrobić remont w mieszkaniu Dominiki.,Krzysztof postanowił zrobić remont w mieszkaniu Dominiki.,"Gdyby Krzysztof nie został strażakiem, Dominice starczyłoby na jabłka.",filler18,,,,,noun,nonsensible,filler18
36,Wojtka przy przejściu dla pieszych zobaczył Darek.,Darek zobaczył Wojtka przy przejściu dla pieszych.,"Rozglądał się uważnie, wypatrując Darka.",noncentered,1.0,111.0,13.0,11.0,null,19,target
37,Bezpieczeństwo Oli było najważniejsze dla Radka.,Bezpieczeństwo Oli było najważniejsze dla Radka.,Dlatego wysłał ją na kurs samoobrony.,filler22,,,,,filler,sensible,filler22
38,Klarze podziękowania przesłała e-mailem Grażyna.,Grażyna przesłała e-mailem Klarze podziękowania.,"Klara nie wiedziała, co powinna odpowiedzieć Grażynie.",noncentered,1.0,29.0,16.0,0.0,noun,5,target
39,Dla Marii codziennie pisał wiersze Tadeusz.,Dla Marii codziennie pisał wiersze Tadeusz.,Według niego najważniejsze było śpiewanie piosenek dla Marii.,filler13,,,,,pronoun,nonsensible,filler13
40,Kuby zeszyt znalazł w szatni Tomek.,Tomek znalazł w szatni zeszyt Kuby.,"Ucieszył się, bo już dawno temu miał go zwrócić Kubie.",centered,1.0,18.0,16.0,12.0,null,4,target
41,"Paula wiedziała, na co może liczyć ze strony Łucji.","Paula wiedziała, na co może liczyć ze strony Łucji.",Dla niej najważniejszy był ulubiony grzebień Łucji.,filler3,,,,,pronoun,nonsensible,filler3
42,Z Błażejem pod sklepem umówił się Konrad.,Konrad umówił się z Błażejem pod sklepem.,"Siedział pod sklepem godzinę, jednak nie doczekał się Błażeja.",centered,1.0,174.0,18.0,15.0,null,30,target
43,Kacper zabrał Sebastiana na wycieczkę.,Kacper zabrał Sebastiana na wycieczkę.,Sebastianowi podobała się ich wspólna wyprawa.,filler21,,,,,filler,sensible,filler21
44,Kasię do sklepu po zakupy wysłała Ala.,Ala wysłała Kasię do sklepu po zakupy.,"Nie mogła znaleźć rzeczy, o które poprosiła ją Ala.",noncentered,1.0,75.0,16.0,14.0,null,13,target
45,Staś zawsze podziwiał Rafała.,Staś zawsze podziwiał Rafała.,Był dla niego kimś w rodzaju starszego brata.,filler23,,,,,filler,sensible,filler23
46,Adamowi myć samochód pomógł Staś.,Staś pomógł Adamowi myć samochód.,"Staś mył szyby specjalnym płynem, a Adam czyścił pastą felgi.",centered,0.0,80.0,18.0,0.0,noun,14,target
47,Gracjan jest największym fanem The Chainsmokers.,Gracjan jest największym fanem The Chainsmokers.,Chodził na wszystkie ich koncerty.,filler33,,,,,filler,sensible,filler33
48,Z Hubertem nie lubi pracować Marcin.,Marcin nie lubi pracować z Hubertem.,"Marcin nie lubi robić wszystkiego w pośpiechu, a Hubertowi to nie przeszkadza.",centered,0.0,92.0,24.0,0.0,noun,16,target
49,Razem z Heleną razem obiad gotował Klemens.,Razem z Heleną razem obiad gotował Klemens.,Niestety zagapili się i przypaliła im się zupa.,filler24,,,,,filler,sensible,filler24
50,Z Krysią na spacer wyszła Ada.,Ada wyszła z Krysią na spacer.,"Ona zebrała się wreszcie na odwagę, by wyznać wszystko Krysi.",centered,1.0,121.0,17.0,19.0,pronoun,21,target
51,Z Marianką zaprzyjaźniła się Lilka.,Z Marianką zaprzyjaźniła się Lilka.,Lubiły bawić się razem lalkami.,filler37,,,,,filler,sensible,filler37
52,Tymon chodził na korepetycje z Krystianem.,Tymon chodził na korepetycje z Krystianem.,Jego mama kupowała sukienki dla Krystiana.,filler15,,,,,pronoun,nonsensible,filler15
53,Dawid marzył o dorównaniu Paulinie.,Dawid marzył o dorównaniu Paulinie.,"Gdy Dawid wchodził po schodach, Paulina patrzyła uważnie.",filler10,,,,,noun,nonsensible,filler10
54,Od Kacpra wiadomość przeczytał Adrian.,Adrian przeczytał wiadomość od Kacpra.,"Nie może jednak wyjść z pracy wcześniej, by spotkać się teraz z Adrianem.",noncentered,1.0,165.0,20.0,18.0,null,28,target
55,Jan nie był w stanie wysłać Tadkowi czeku.,Jan nie był w stanie wysłać Tadkowi czeku.,"On był tak dumny, że Tadek mógł to zrobić.",filler1,,,,,pronoun,nonsensible,filler1
56,Łatkę pogłaskała po głowie Werka.,Werka pogłaskała Łatkę po głowie.,"Werka często tak robiła, gdy zostawiała Łatkę samą w domu.",centered,0.0,44.0,20.0,0.0,noun,8,target
57,Paweł uczył Paulinę jeździć na łyżwach.,Paweł uczył Paulinę jeździć na łyżwach.,Dlatego poszli na lodowisko.,filler39,,,,,filler,sensible,filler39
58,Do Karola wcześnie rano zadzwonił Michał.,Michał zadzwonił wcześnie rano do Karola.,"On miał ważną sprawę, dlatego chciał szybko skontaktować się z Karolem.",centered,1.0,55.0,21.0,18.0,pronoun,10,target
59,Tomek zaplanował wyjazd z Magdą.,Tomek zaplanował wyjazd z Magdą.,"Jakby Tomek nie zjadł pączka, to Magda nie byłaby zła.",filler17,,,,,noun,nonsensible,filler17
60,Z Albertem razem w ławce usiadł Igor.,Igor usiadł w ławce razem z Albertem.,"On był zadowolony, że się udało, bo zawsze bardzo dobrze mu się pracowało z Albertem.",centered,1.0,151.0,29.0,26.0,pronoun,26,target
61,Marcin starał się uspokoić Magdalenę.,Marcin starał się uspokoić Magdalenę.,"Dla Marcina w miarę postępów było coraz jaśniejsze, dlaczego to Magdalena.",filler8,,,,,noun,nonsensible,filler8
62,Zosię często komplementowała Marzena.,Marzena często komplementowała Zosię.,"Ona aż promieniała, gdy Marzena ją chwaliła.",noncentered,0.0,10.0,15.0,7.0,pronoun,2,target
63,Aniela znalazła pracę w firmie Bartka.,Aniela znalazła pracę w firmie Bartka.,Zawsze lubili razem pracować.,filler36,,,,,filler,sensible,filler36
64,Natalii wielki bukiet róż kupiła Marta.,Marta kupiła Natalii wielki bukiet róż.,"Była zaskoczona, że choć się nie lubią, to Marta zdobyła się na taki gest.",noncentered,0.0,87.0,21.0,13.0,null,15,target
65,Mateusz zaraził się grypą od Adriana.,Mateusz zaraził się grypą od Adriana.,Żaden z nich nie był zaszczepiony.,filler29,,,,,filler,sensible,filler29
66,Z Olą na imprezę poszedł Szczepan.,Z Olą na imprezę poszedł Szczepan.,Według Szczepana największe szanse w maratonie ma Ola.,filler19,,,,,noun,nonsensible,filler19
67,Rafałowi dziecko urodziła Maja.,Rafałowi dziecko urodziła Maja.,Oboje byli bardzo szczęśliwi.,filler35,,,,,filler,sensible,filler35
68,Adamowi w lekcjach pomagała Agnieszka.,Adamowi w lekcjach pomagała Agnieszka.,"Gdyby nie Agnieszka, Adam chodziłby w porwanych skarpetkach.",filler16,,,,,noun,nonsensible,filler16
69,Łukaszowi bardzo podoba się Natalia.,Łukaszowi bardzo podoba się Natalia.,"Chciałby ją zaprosić na randkę, ale boi się odrzucenia.",filler27,,,,,filler,sensible,filler27
