,F1,F1_ORGINAL,F2,centering,czy_ostatnie,index,l1,l2sens,realization,set,target
16,Do Janiny zaufanie straciła Kasia.,Do Janiny zaufanie straciła Kasia.,"Gdyby nie jej torebka, to Janina miałaby więcej szczęścia.",filler2,,,,,pronoun,nonsensible,filler2
17,Ewy stary pamiętnik znalazła na strychu Ania.,Asia znalazła na strychu stary pamiętnik Ewy.,"Asia po tym, czego się dowiedziała, nie mogła długo zdobyć się na rozmowę z Ewą.",centered,1.0,62.0,22.0,0.0,noun,11,target
18,"Paula wiedziała, na co może liczyć ze strony Łucji.","Paula wiedziała, na co może liczyć ze strony Łucji.",Dla niej najważniejszy był ulubiony grzebień Łucji.,filler3,,,,,pronoun,nonsensible,filler3
19,Z Mikołajem postanowił ścigać się Witold.,Witold postanowił ścigać się z Mikołajem.,"Nie był dziś w formie, a mimo to udało mu się wygrać z Mikołajem.",centered,1.0,126.0,21.0,18.0,null,22,target
20,Sylwii nie potrafił zaimponować Damian.,Sylwii nie potrafił zaimponować Damian.,Jego zaloty w ogóle na nią nie działały.,filler31,,,,,filler,sensible,filler31
21,Oli o wypadku powiedziała w sekrecie Basia.,Basia w sekrecie powiedziała Oli o wypadku.,"Ola wie, że nie dotrzyma tajemnicy, mimo że obiecała Basi, że nic nikomu nie powie.",noncentered,0.0,119.0,23.0,0.0,noun,20,target
22,Rafałowi dziecko urodziła Maja.,Rafałowi dziecko urodziła Maja.,Oboje byli bardzo szczęśliwi.,filler35,,,,,filler,sensible,filler35
23,Tymon chodził na korepetycje z Krystianem.,Tymon chodził na korepetycje z Krystianem.,Jego mama kupowała sukienki dla Krystiana.,filler15,,,,,pronoun,nonsensible,filler15
24,Za Sonię pozmywała naczynia Marysia.,Marysia pozmywała naczynia za Sonię.,"Musi się nauczyć, żeby nie obciążać swoimi obowiązkami Marysi.",noncentered,1.0,99.0,17.0,15.0,null,17,target
25,Gracjan jest największym fanem The Chainsmokers.,Gracjan jest największym fanem The Chainsmokers.,Chodził na wszystkie ich koncerty.,filler33,,,,,filler,sensible,filler33
26,Nad Grzesiem często znęcał się Rafał.,Rafał często znęcał się nad Grzesiem.,On w końcu któregoś dnia postanowił poskarżyć się na Rafała.,noncentered,1.0,70.0,15.0,12.0,pronoun,12,target
27,Po Konradzie cały spadek odziedziczyła Irena.,Po Konradzie cały spadek odziedziczyła Irena.,Stała się z dnia na dzień obrzydliwie bogata.,filler30,,,,,filler,sensible,filler30
28,Od Ani pracę domową przepisała Olga.,Olga przepisała pracę domową od Ani.,"Olga nie podejrzewała, jakie nieprzyjemności będzie miała z tego powodu Ania.",centered,1.0,134.0,27.0,0.0,noun,23,target
29,Tosi przynosił co roku prezenty Mikołaj.,Tosi przynosił co roku prezenty Mikołaj.,On bardzo lubił pleść Tosi warkocze.,filler11,,,,,pronoun,nonsensible,filler11
30,Z Klarą nie jest w stanie skontaktować się Lena.,Lena nie jest w stanie skontaktować się z Klarą.,"Przynajmniej od tygodnia ma zepsuty telefon, więc nie może zadzwonić do Klary.",centered,1.0,156.0,24.0,22.0,null,27,target
31,Ze zdaniem Gosi zawsze liczył się Adrian.,Ze zdaniem Gosi zawsze liczył się Adrian.,"Uważał, że ona ma naprawdę fantastyczny gust.",filler34,,,,,filler,sensible,filler34
32,Od Kacpra wiadomość przeczytał Adrian.,Adrian przeczytał wiadomość od Kacpra.,"On nie może jednak wyjść z pracy wcześniej, by spotkać się teraz z Adrianem.",noncentered,1.0,166.0,21.0,19.0,pronoun,28,target
33,Kacper zabrał Sebastiana na wycieczkę.,Kacper zabrał Sebastiana na wycieczkę.,Sebastianowi podobała się ich wspólna wyprawa.,filler21,,,,,filler,sensible,filler21
34,Piotra szczerze przeprosił Jacek.,Jacek szczerze przeprosił Piotra.,On był wyraźnie urażony wypowiedzią Jacka.,noncentered,1.0,4.0,15.0,5.0,pronoun,1,target
35,Dawid marzył o dorównaniu Paulinie.,Dawid marzył o dorównaniu Paulinie.,"Gdy Dawid wchodził po schodach, Paulina patrzyła uważnie.",filler10,,,,,noun,nonsensible,filler10
36,Z Hubertem nie lubi pracować Marcin.,Marcin nie lubi pracować z Hubertem.,"On często bardzo się złości, gdy Marcin stara się mu pomóc.",noncentered,0.0,94.0,15.0,9.0,pronoun,16,target
37,Ziemowita w nogę kopnął Marek.,Ziemowita w nogę kopnął Marek.,Największe dzieło Marka podobało się najbardziej Ziemowitowi.,filler7,,,,,noun,nonsensible,filler7
38,Adamowi myć samochód pomógł Staś.,Staś pomógł Adamowi myć samochód.,"On mył szyby specjalnym płynem, a Adam czyścił pastą felgi.",centered,0.0,79.0,18.0,10.0,pronoun,14,target
39,Zosia nie potrafiła doradzić Lucynie.,Zosia nie potrafiła doradzić Lucynie.,Problem ten był dla niej zbyt skomplikowany.,filler25,,,,,filler,sensible,filler25
40,Do Karola wcześnie rano zadzwonił Michał.,Michał zadzwonił wcześnie rano do Karola.,"Miał ważną sprawę, dlatego chciał szybko skontaktować się z Karolem.",centered,1.0,54.0,20.0,17.0,null,10,target
41,Adamowi w lekcjach pomagała Agnieszka.,Adamowi w lekcjach pomagała Agnieszka.,"Gdyby nie Agnieszka, Adam chodziłby w porwanych skarpetkach.",filler16,,,,,noun,nonsensible,filler16
42,Z Błażejem pod sklepem umówił się Konrad.,Konrad umówił się z Błażejem pod sklepem.,"On siedział pod sklepem godzinę, jednak nie doczekał się Błażeja.",centered,1.0,175.0,19.0,16.0,pronoun,30,target
43,Bezpieczeństwo Oli było najważniejsze dla Radka.,Bezpieczeństwo Oli było najważniejsze dla Radka.,Dlatego wysłał ją na kurs samoobrony.,filler22,,,,,filler,sensible,filler22
44,Wojtka przy przejściu dla pieszych zobaczył Darek.,Darek zobaczył Wojtka przy przejściu dla pieszych.,"Darek zamachał energicznie, by zwrócić uwagę Wojtka.",centered,1.0,110.0,19.0,0.0,noun,19,target
45,Jan nie był w stanie wysłać Tadkowi czeku.,Jan nie był w stanie wysłać Tadkowi czeku.,"On był tak dumny, że Tadek mógł to zrobić.",filler1,,,,,pronoun,nonsensible,filler1
46,Od Niny rower pożyczyła Sonia.,Sonia pożyczyła rower od Niny.,"Nina miała później wyrzuty sumienia, ponieważ w drodze do pracy Sonię potrącił samochód.",noncentered,0.0,173.0,29.0,0.0,noun,29,target
47,Wojtek przepisał od Andrzeja pracę domową.,Wojtek przepisał od Andrzeja pracę domową.,Niestety nauczyciel przyłapał ich na oszustwie.,filler26,,,,,filler,sensible,filler26
48,Kasię do sklepu po zakupy wysłała Ala.,Ala wysłała Kasię do sklepu po zakupy.,Ala w tym czasie przygotowywała dla Kasi niespodziankę.,centered,0.0,74.0,19.0,0.0,noun,13,target
49,Aniela znalazła pracę w firmie Bartka.,Aniela znalazła pracę w firmie Bartka.,Zawsze lubili razem pracować.,filler36,,,,,filler,sensible,filler36
50,Pawła dłoń uścisnął na koniec Wiktor.,Wiktor uścisnął na koniec dłoń Pawła.,"Paweł zastanawiał się, czy to dobrze, że sprzedał Wiktorowi motocykl.",noncentered,0.0,41.0,21.0,0.0,noun,7,target
51,Ulubiony zegar Jana naprawił Grzegorz.,Ulubiony zegar Jana naprawił Grzegorz.,Jego firanki nigdy nie miały dla Jana znaczenia.,filler4,,,,,pronoun,nonsensible,filler4
52,Z Kingą razem na wyprawę górską wybrała się Daria.,Daria wybrała się razem z Kingą na wyprawę górską.,"Zastanawia się, czy spanie w szałasie nie będzie zbyt uciążliwe dla Kingi.",centered,1.0,144.0,23.0,21.0,null,25,target
53,Tomek zaplanował wyjazd z Magdą.,Tomek zaplanował wyjazd z Magdą.,"Jakby Tomek nie zjadł pączka, to Magda nie byłaby zła.",filler17,,,,,noun,nonsensible,filler17
54,Natalii wielki bukiet róż kupiła Marta.,Marta kupiła Natalii wielki bukiet róż.,"Ona była bardzo zaskoczona, że Natalia tak chętnie jej pomogła.",centered,0.0,85.0,21.0,11.0,pronoun,15,target
55,Z Marianką zaprzyjaźniła się Lilka.,Z Marianką zaprzyjaźniła się Lilka.,Lubiły bawić się razem lalkami.,filler37,,,,,filler,sensible,filler37
56,Prosiaczek lubił jeść z Puchatkiem miód.,Prosiaczek lubił jeść z Puchatkiem miód.,"On często ziewał, gdy Puchatek wchodził na drzewo.",filler14,,,,,pronoun,nonsensible,filler14
57,Zrozpaczona Zosia przytuliła się do Maćka.,Zrozpaczona Zosia przytuliła się do Maćka.,"Zosia przeczytała ""Lalkę"", którą Maciek omawiał na lekcji.",filler20,,,,,noun,nonsensible,filler20
58,Julii złote kolczyki zgubiła podczas wycieczki Hania.,Hania zgubiła podczas wycieczki złote kolczyki Julii.,"Ona będzie musiała przyznać się mamie, że pożyczyła kolczyki od Julii.",centered,1.0,103.0,23.0,21.0,pronoun,18,target
59,Marcin starał się uspokoić Magdalenę.,Marcin starał się uspokoić Magdalenę.,"Dla Marcina w miarę postępów było coraz jaśniejsze, dlaczego to Magdalena.",filler8,,,,,noun,nonsensible,filler8
60,Malwinę w gniewie zepchnęła ze schodów Sylwia.,Sylwia w gniewie zepchnęła Malwinę ze schodów.,"Ona doskonale wiedziała, dlaczego Sylwia to zrobiła.",noncentered,0.0,34.0,19.0,12.0,pronoun,6,target
61,Razem z Heleną razem obiad gotował Klemens.,Razem z Heleną razem obiad gotował Klemens.,Niestety zagapili się i przypaliła im się zupa.,filler24,,,,,filler,sensible,filler24
62,Z Olą na imprezę poszedł Szczepan.,Z Olą na imprezę poszedł Szczepan.,Według Szczepana największe szanse w maratonie ma Ola.,filler19,,,,,noun,nonsensible,filler19
63,Klarze podziękowania przesłała e-mailem Grażyna.,Grażyna przesłała e-mailem Klarze podziękowania.,"Nie wiedziała, co powinna odpowiedzieć Grażynie.",noncentered,1.0,27.0,13.0,11.0,null,5,target
64,Paweł uczył Paulinę jeździć na łyżwach.,Paweł uczył Paulinę jeździć na łyżwach.,Dlatego poszli na lodowisko.,filler39,,,,,filler,sensible,filler39
65,Z Krysią na spacer wyszła Ada.,Ada wyszła z Krysią na spacer.,"Krysia zebrała się wreszcie na odwagę, by wyznać wszystko Adzie.",noncentered,1.0,125.0,17.0,0.0,noun,21,target
66,Mariuszowi dom pomogła sprzątnąć Ula.,Mariuszowi dom pomogła sprzątnąć Ula.,Sam by sobie nie poradził z tym bałaganem.,filler40,,,,,filler,sensible,filler40
67,Maćka z wściekłością wyrzucił z pokoju Bartek.,Bartek z wściekłością wyrzucił Maćka z pokoju.,"Zawsze strasznie hałasował, gdy Bartek chciał się skoncentrować.",noncentered,0.0,51.0,17.0,9.0,null,9,target
68,Krzysztof postanowił zrobić remont w mieszkaniu Dominiki.,Krzysztof postanowił zrobić remont w mieszkaniu Dominiki.,"Gdyby Krzysztof nie został strażakiem, Dominice starczyłoby na jabłka.",filler18,,,,,noun,nonsensible,filler18
69,Staś próbował zrobić ulubiony tort Doroty.,Staś próbował zrobić ulubiony tort Doroty.,"Dobrze robił fikołki, a Dorota lubiła czytać kryminały.",filler12,,,,,pronoun,nonsensible,filler12
