,F1,F2,Unnamed: 1,centering,czy_ostatnie,index,l1,l2sens,realization,set,sylaby przydawka,target
29,Teresa wrzuciła do skrytki Marty banknot.,"Ona była zawsze umalowana, czego zazdrościła jej Marta.","Teresa wrzuciła banknot do skrytki Marty, której była winna pieniądze.",filler5,,,,,pronoun,nonsensible,,filler5
30,Krzysztof postanowił zrobić remont w mieszkaniu Dominiki.,"Gdyby Krzysztof nie został strażakiem, Dominice starczyłoby na jabłka.","Krzysztof postanowił zrobić remont w mieszkaniu Dominiki, która w zamian pożyczyła mu samochód.",filler18,,,,,noun,nonsensible,,filler18
31,Michał zadzwonił wcześnie rano do Karola.,"On miał ważną sprawę, dlatego chciał szybko skontaktować się z Karolem.","Michał zadzwonił wcześnie rano do Karola, który bardzo często wstawał przed szóstą.",centered,1.0,55.0,21.0,18.0,pronoun,10,,target
32,Klara zawsze wytrącała Jagodę z równowagi.,Klara nigdy nie spóźniała się na korepetycje u Jagody.,"Klara zawsze wytrącała z równowagi Jagodę, która jej po prostu nie znosiła.",filler6,,,,,noun,nonsensible,,filler6
33,Marzena często komplementowała Zosię.,"Ona aż promieniała, gdy Marzena ją chwaliła.","Marzena często komplementowała Zosię, która ubierała się oryginalne.",noncentered,0.0,10.0,15.0,7.0,pronoun,2,,target
34,Marcin starał się uspokoić Magdalenę.,"Dla Marcina w miarę postępów było coraz jaśniejsze, dlaczego to Magdalena.","Marcin starał się uspokoić Magdalenę, która od godziny nie mogła przestać płakać.",filler8,,,,,noun,nonsensible,,filler8
35,Mikołaj co roku przynosił prezenty Tosi.,On bardzo lubił pleść Tosi warkocze.,"Mikołaj co roku przynosił prezenty Tosi, która zawsze starała się być grzeczna.",filler11,,,,,pronoun,nonsensible,,filler11
36,Darek zobaczył Wojtka przy przejściu dla pieszych.,"Darek zamachał energicznie, by zwrócić uwagę Wojtka.","Darek zobaczył przy przejściu dla pieszych Wojtka, który patrzył właśnie w inną stronę.",centered,1.0,110.0,19.0,0.0,noun,19,,target
37,Tymon chodził na korepetycje z Krystianem.,Jego mama kupowała sukienki dla Krystiana.,"Tymon chodził na korepetycje z Krystianem, który był w równoległej klasie.",filler15,,,,,pronoun,nonsensible,,filler15
38,Jan wygrał tym razem w szachy z Krzysztofem.,"Często miał problem, gdy Jan grał białymi.","Jan wygrał tym razem w szachy z Krzysztofem, który miał ostatnio dobrą passę.",noncentered,0.0,15.0,11.0,6.0,null,3,,target
39,Szczepan poszedł na imprezę z Olą.,Według Szczepana największe szanse w maratonie ma Ola.,"Szczepan poszedł na imprezę z Olą, która przyniosła wino i sernik.",filler19,,,,,noun,nonsensible,,filler19
40,Ala wysłała Kasię do sklepu po zakupy.,"Ona nie mogła znaleźć rzeczy, o które poprosiła ją Ala.","Ala wysłała do sklepu po zakupy Kasię, na której można było zawsze polegać.",noncentered,1.0,76.0,18.0,16.0,pronoun,13,,target
41,Staś zawsze podziwiał Rafała.,Był dla niego kimś w rodzaju starszego brata.,"Staś zawsze podziwiał Rafała, który był już prawie dorosły.",filler23,,,,,filler,sensible,,filler23
42,Ada wyszła z Krysią na spacer.,"Ona zebrała się wreszcie na odwagę, by wyznać wszystko Krysi.","Ada wyszła na spacer z Krysią, która ostatnio unikała spotkań.",centered,1.0,121.0,17.0,19.0,pronoun,21,,target
43,Wojtek przepisał od Andrzeja pracę domową.,Niestety nauczyciel przyłapał ich na oszustwie.,"Wojtek przepisał pracę domową od Andrzeja, który jest pupilkiem matematyka.",filler26,,,,,filler,sensible,,filler26
44,Sylwia w gniewie zepchnęła Malwinę ze schodów.,"Ona doskonale wiedziała, dlaczego Sylwia to zrobiła.","Sylwia w gniewie zepchnęła ze schodów Malwinę, która nawet nie zdążyła krzyknąć.",noncentered,0.0,34.0,19.0,12.0,pronoun,6,,target
45,Klemens gotował razem z Heleną obiad.,Niestety zagapili się i przypaliła im się zupa.,"Klemens gotował obiad razem z Heleną, która cały czas żartowała ze swoich z rodziców.",filler24,,,,,filler,sensible,,filler24
46,Wiktor uścisnął na koniec dłoń Pawła.,"On był zadowolony z transakcji, którą zawarł z Pawłem.","Wiktor uścisnął na koniec dłoń Pawła, o którym wszyscy dobrze mówili.",centered,1.0,37.0,18.0,16.0,pronoun,7,,target
47,Maja urodziła dziecko Rafałowi.,Oboje byli bardzo szczęśliwi.,"Maja urodziła dziecko Rafałowi, który zawsze chciał być ojcem.",filler35,,,,,filler,sensible,,filler35
48,Sonia pożyczyła rower od Niny.,"Nina miała później wyrzuty sumienia, ponieważ w drodze do pracy Sonię potrącił samochód.","Sonia pożyczyła rower od Niny, która szykowała się do wyjścia.",noncentered,0.0,173.0,29.0,0.0,noun,29,,target
49,"Paula wiedziała, na co może liczyć ze strony Łucji.",Dla niej najważniejszy był ulubiony grzebień Łucji.,"Paula wiedziała, na co może liczyć ze strony Łucji, która już nie raz dała się poznać ze złej strony.",filler3,,,,,pronoun,nonsensible,,filler3
50,Jurek bardzo pokłócił się z Leszkiem.,"Nie mógł zrozumieć, dlaczego nie może przekonać Leszka do swojego zdania.","Jurek bardzo pokłócił się z Leszkiem, który zazwyczaj unikał konfliktów.",centered,0.0,138.0,23.0,15.0,null,24,11.0,target
51,Tadeusz codziennie pisał wiersze dla Marii.,Według niego najważniejsze było śpiewanie piosenek dla Marii.,"Tadeusz codziennie pisał wiersze dla Marii, która chowała je wszystkie w szufladzie.",filler13,,,,,pronoun,nonsensible,,filler13
52,Marysia pozmywała naczynia za Sonię.,"Musi się nauczyć, żeby nie robić wszystkiego za Sonię.","Marysia pozmywała naczynia za Sonię, która znów nie wyrabia się z pracą.",centered,1.0,96.0,17.0,15.0,null,17,10.0,target
53,Kasia straciła zaufanie do Janiny.,"Gdyby nie jej torebka, to Janina miałaby więcej szczęścia.","Kasia straciła zaufanie do Janiny, z którą już wcześniej pracowała przy zbiorach.",filler2,,,,,pronoun,nonsensible,,filler2
54,Tomek znalazł w szatni zeszyt Kuby.,Kuba nie mógł go znaleźć od tygodnia i teraz był wdzięczny Tomkowi.,"Tomek znalazł w szatni zeszyt Kuby, który uczył się do egzaminu.",noncentered,1.0,23.0,19.0,0.0,noun,4,,target
55,Kaczor Donald był ulubionym gościem Myszki Miki.,Uwielbiali spędzać ze sobą czas.,"Kaczor Donald był ulubionym gościem Myszki Miki, która z zaciekawieniem słuchała jego opowieści.",filler32,,,,,filler,sensible,,filler32
56,Marta kupiła Natalii wielki bukiet róż.,"Natalia była zaskoczona, że choć się nie lubią, to Marta zdobyła się na taki gest.","Marta kupiła wielki bukiet róż Natalii, która bardzo lubiła cięte kwiaty.",noncentered,0.0,89.0,24.0,0.0,noun,15,,target
57,Ula pomogła sprzątnąć dom Mariuszowi.,Sam by sobie nie poradził z tym bałaganem.,"Ula pomogła sprzątnąć dom Mariuszowi, który nie jest zbyt zaradny.",filler40,,,,,filler,sensible,,filler40
58,Werka pogłaskała Łatkę po głowie.,"Często tak robiła, gdy zostawiała Łatkę samą w domu.","Werka pogłaskała po głowie Łatkę, która bardzo lubiła być pieszczona.",centered,0.0,42.0,18.0,11.0,null,8,11.0,target
59,Katastrofa Dominiki bardzo dotknęła Wojtka.,Wojtek wlazł na łóżko Dominiki i zawinął się w prześcieradło.,"Katastrofa Dominiki bardzo dotknęła Wojtka, który nie umiał ukryć swojej troski o nią.",filler9,,,,,noun,nonsensible,,filler9
60,Witold postanowił ścigać się z Mikołajem.,"On nie był dziś w formie, a mimo to udało mu się wygrać z Mikołajem.","Witold postanowił ścigać się z Mikołajem, który od roku był niepokonany.",centered,1.0,127.0,22.0,19.0,pronoun,22,,target
61,Dawid marzył o dorównaniu Paulinie.,"Gdy Dawid wchodził po schodach, Paulina patrzyła uważnie.","Dawid marzył o dorównaniu Paulinie, która grała na gitarze lepiej od niego.",filler10,,,,,noun,nonsensible,,filler10
62,Marcin nie lubi pracować z Hubertem.,"Często bardzo się złości, gdy Marcin stara się mu pomóc.","Marcin nie lubi pracować z Hubertem, który jest jego najbliższym sąsiadem.",noncentered,0.0,93.0,14.0,8.0,null,16,,target
63,Jan nie był w stanie wysłać Tadkowi czeku.,"On był tak dumny, że Tadek mógł to zrobić.","Jan nie był w stanie wysłać czeku Tadkowi, który akurat na gwałt potrzebował pieniędzy.",filler1,,,,,pronoun,nonsensible,,filler1
64,Daria wybrała się razem z Kingą na wyprawę górską.,"Daria zastanawia się, czy spanie w szałasie nie będzie zbyt uciążliwe dla Kingi.","Daria wybrała się na wyprawę górską razem z Kingą, która od dawna chciała gdzieś wyjechać.",centered,1.0,146.0,25.0,23.0,noun,25,,target
65,Mateusz zaraził się grypą od Adriana.,Żaden z nich nie był zaszczepiony.,"Mateusz zaraził się grypą od Adriana, z którym widział się tylko dziesięć minut.",filler29,,,,,filler,sensible,,filler29
66,Adrian przeczytał wiadomość od Kacpra.,"Nie może jednak wyjść z pracy wcześniej, by spotkać się teraz z Kacprem.","Adrian przeczytał wiadomość od Kacpra, który ma do przekazania ważną rzecz.",centered,1.0,162.0,20.0,18.0,null,28,11.0,target
67,Grzegorz naprawił ulubiony zegar Jana.,Jego firanki nigdy nie miały dla Jana znaczenia.,"Grzegorz naprawił ulubiony zegar Jana, który bardzo sobie cenił tę pamiątkę po dziadkach.",filler4,,,,,pronoun,nonsensible,,filler4
68,Igor usiadł w ławce razem z Albertem.,"Albert był zadowolony, że się udało, bo zawsze bardzo dobrze mu się pracowało z Igorem.","Igor usiadł w ławce razem z Albertem, który był pełen zapału do pracy.",noncentered,1.0,155.0,30.0,0.0,noun,26,,target
69,Łukaszowi bardzo podoba się Natalia.,"Chciałby ją zaprosić na randkę, ale boi się odrzucenia.","Łukaszowi bardzo podoba się Natalia, którą spotkał na kursie spadochronowym.",filler27,,,,,filler,sensible,,filler27
