,F1,F2,Unnamed: 1,centering,czy_ostatnie,index,l1,l2sens,realization,set,sylaby przydawka,target
16,Marysia pozmywała naczynia za Sonię.,"Musi się nauczyć, żeby nie obciążać swoimi obowiązkami Marysi.","Marysia pozmywała naczynia za Sonię, która znów nie wyrabia się z pracą.",noncentered,1.0,99.0,17.0,15.0,null,17,,target
17,Kasia straciła zaufanie do Janiny.,"Gdyby nie jej torebka, to Janina miałaby więcej szczęścia.","Kasia straciła zaufanie do Janiny, z którą już wcześniej pracowała przy zbiorach.",filler2,,,,,pronoun,nonsensible,,filler2
18,Wojtek przepisał od Andrzeja pracę domową.,Niestety nauczyciel przyłapał ich na oszustwie.,"Wojtek przepisał pracę domową od Andrzeja, który jest pupilkiem matematyka.",filler26,,,,,filler,sensible,,filler26
19,Werka pogłaskała Łatkę po głowie.,"Ona zawsze przychodziła, gdy chciała, żeby Werka się nią zajęła.","Werka pogłaskała po głowie Łatkę, która bardzo lubiła być pieszczona.",noncentered,0.0,46.0,20.0,13.0,pronoun,8,,target
20,Tomek zaplanował wyjazd z Magdą.,"Jakby Tomek nie zjadł pączka, to Magda nie byłaby zła.","Tomek zaplanował wyjazd z Magdą, która była dziewczyną jego najlepszego przyjaciela.",filler17,,,,,noun,nonsensible,,filler17
21,Hania zgubiła podczas wycieczki złote kolczyki Julii.,"Ona będzie musiała przyznać się mamie, że pożyczyła kolczyki Hani.","Hania zgubiła podczas wycieczki złote kolczyki Julii, która lubiła ładną biżuterię.",noncentered,1.0,106.0,22.0,20.0,pronoun,18,,target
22,Zrozpaczona Zosia przytuliła się do Maćka.,"Zosia przeczytała ""Lalkę"", którą Maciek omawiał na lekcji.","Zrozpaczona Zosia przytuliła się do Maćka, na którego zawsze mogła liczyć.",filler20,,,,,noun,nonsensible,,filler20
23,Mikołaj co roku przynosił prezenty Tosi.,On bardzo lubił pleść Tosi warkocze.,"Mikołaj co roku przynosił prezenty Tosi, która zawsze starała się być grzeczna.",filler11,,,,,pronoun,nonsensible,,filler11
24,Olga przepisała pracę domową od Ani.,"Nie podejrzewała, jakie nieprzyjemności będzie miała z tego powodu Ania.","Olga przepisała pracę domową od Ani, która popełniła specyficzny błąd.",centered,1.0,132.0,25.0,23.0,null,23,11.0,target
25,Kacper zabrał Sebastiana na wycieczkę.,Sebastianowi podobała się ich wspólna wyprawa.,"Kacper zabrał na wycieczkę Sebastiana, który nigdy wcześniej nie był za granicą.",filler21,,,,,filler,sensible,,filler21
26,Grażyna przesłała e-mailem Klarze podziękowania.,"Cieszyła się, że udało się jej szczerze porozmawiać z Klarą.","Grażyna przesłała e-mailem podziękowania Klarze, której pomoc była nieoceniona.",centered,1.0,24.0,19.0,17.0,null,5,11.0,target
27,Damian nie potrafił zaimponować Sylwii.,Jego zaloty w ogóle na nią nie działały.,"Damian nie potrafił zaimponować Sylwii, która ostatnio bardzo wydoroślała.",filler31,,,,,filler,sensible,,filler31
28,Sylwia w gniewie zepchnęła Malwinę ze schodów.,"Doskonale wiedziała, dlaczego Sylwia to zrobiła.","Sylwia w gniewie zepchnęła ze schodów Malwinę, która nawet nie zdążyła krzyknąć.",noncentered,0.0,33.0,17.0,10.0,null,6,,target
29,Klara zawsze wytrącała Jagodę z równowagi.,Klara nigdy nie spóźniała się na korepetycje u Jagody.,"Klara zawsze wytrącała z równowagi Jagodę, która jej po prostu nie znosiła.",filler6,,,,,noun,nonsensible,,filler6
30,Jacek szczerze przeprosił Piotra.,On był wyraźnie urażony wypowiedzią Jacka.,"Jacek szczerze przeprosił Piotra, który cały dzień uparcie milczał.",noncentered,1.0,4.0,15.0,5.0,pronoun,1,,target
31,Maja urodziła dziecko Rafałowi.,Oboje byli bardzo szczęśliwi.,"Maja urodziła dziecko Rafałowi, który zawsze chciał być ojcem.",filler35,,,,,filler,sensible,,filler35
32,Jan wygrał tym razem w szachy z Krzysztofem.,Jan był znacznie silniejszym graczem niż Krzysztof.,"Jan wygrał tym razem w szachy z Krzysztofem, który miał ostatnio dobrą passę.",centered,1.0,14.0,13.0,0.0,noun,3,,target
33,Paweł uczył Paulinę jeździć na łyżwach.,Dlatego poszli na lodowisko.,"Paweł uczył jeździć na łyżwach Paulinę, którą już od miesiąca stara się poderwać.",filler39,,,,,filler,sensible,,filler39
34,Marcin nie lubi pracować z Hubertem.,"Nie lubi robić wszystkiego w pośpiechu, a Hubertowi to nie przeszkadza.","Marcin nie lubi pracować z Hubertem, który jest jego najbliższym sąsiadem.",centered,0.0,90.0,22.0,13.0,null,16,11.0,target
35,Katastrofa Dominiki bardzo dotknęła Wojtka.,Wojtek wlazł na łóżko Dominiki i zawinął się w prześcieradło.,"Katastrofa Dominiki bardzo dotknęła Wojtka, który nie umiał ukryć swojej troski o nią.",filler9,,,,,noun,nonsensible,,filler9
36,Basia w sekrecie powiedziała Oli o wypadku.,"Nie dotrzymała tajemnicy, mimo że obiecała Basi, że nic nikomu nie powie.","Basia w sekrecie powiedziała o wypadku Oli, której oczy lśniły z ciekawości.",noncentered,0.0,117.0,21.0,16.0,null,20,,target
37,Irena odziedziczyła cały spadek po Konradzie.,Stała się z dnia na dzień obrzydliwie bogata.,"Irena odziedziczyła cały spadek po Konradzie, który niespodziewanie zmarł w czasie wakacji.",filler30,,,,,filler,sensible,,filler30
38,Sonia pożyczyła rower od Niny.,"Sonia miała później wyrzuty sumienia, ponieważ przez to Nina spóźniła się do pracy.","Sonia pożyczyła rower od Niny, która szykowała się do wyjścia.",centered,0.0,170.0,21.0,0.0,noun,29,,target
39,Grzegorz naprawił ulubiony zegar Jana.,Jego firanki nigdy nie miały dla Jana znaczenia.,"Grzegorz naprawił ulubiony zegar Jana, który bardzo sobie cenił tę pamiątkę po dziadkach.",filler4,,,,,pronoun,nonsensible,,filler4
40,Darek zobaczył Wojtka przy przejściu dla pieszych.,"Rozglądał się uważnie, wypatrując Darka.","Darek zobaczył przy przejściu dla pieszych Wojtka, który patrzył właśnie w inną stronę.",noncentered,1.0,111.0,13.0,11.0,null,19,,target
41,Staś zawsze podziwiał Rafała.,Był dla niego kimś w rodzaju starszego brata.,"Staś zawsze podziwiał Rafała, który był już prawie dorosły.",filler23,,,,,filler,sensible,,filler23
42,Ala wysłała Kasię do sklepu po zakupy.,Ona w tym czasie przygotowywała dla Kasi niespodziankę.,"Ala wysłała do sklepu po zakupy Kasię, na której można było zawsze polegać.",centered,0.0,73.0,19.0,13.0,pronoun,13,,target
43,Łukaszowi bardzo podoba się Natalia.,"Chciałby ją zaprosić na randkę, ale boi się odrzucenia.","Łukaszowi bardzo podoba się Natalia, którą spotkał na kursie spadochronowym.",filler27,,,,,filler,sensible,,filler27
44,Bartek z wściekłością wyrzucił Maćka z pokoju.,"Maciek zawsze strasznie hałasował, gdy Bartek chciał się skoncentrować.","Bartek z wściekłością wyrzucił z pokoju Maćka, który bardzo głośno słuchał muzyki.",noncentered,0.0,53.0,19.0,0.0,noun,9,,target
45,"Paula wiedziała, na co może liczyć ze strony Łucji.",Dla niej najważniejszy był ulubiony grzebień Łucji.,"Paula wiedziała, na co może liczyć ze strony Łucji, która już nie raz dała się poznać ze złej strony.",filler3,,,,,pronoun,nonsensible,,filler3
46,Jurek bardzo pokłócił się z Leszkiem.,"Jurek nie mógł zrozumieć, dlaczego nie może przekonać Leszka do swojego zdania.","Jurek bardzo pokłócił się z Leszkiem, który zazwyczaj unikał konfliktów.",centered,0.0,140.0,25.0,0.0,noun,24,,target
47,Adrian zawsze liczył się ze zdaniem Gosi.,"Uważał, że ona ma naprawdę fantastyczny gust.","Adrian zawsze liczył się ze zdaniem Gosi, która zajmowała się aranżacją wnętrz.",filler34,,,,,filler,sensible,,filler34
48,Ada wyszła z Krysią na spacer.,"Zebrała się wreszcie na odwagę, by wszystko wyznać Krysi.","Ada wyszła na spacer z Krysią, która ostatnio unikała spotkań.",centered,1.0,120.0,15.0,17.0,null,21,11.0,target
49,Ula pomogła sprzątnąć dom Mariuszowi.,Sam by sobie nie poradził z tym bałaganem.,"Ula pomogła sprzątnąć dom Mariuszowi, który nie jest zbyt zaradny.",filler40,,,,,filler,sensible,,filler40
50,Marta kupiła Natalii wielki bukiet róż.,"Była zaskoczona, że choć się nie lubią, to Marta zdobyła się na taki gest.","Marta kupiła wielki bukiet róż Natalii, która bardzo lubiła cięte kwiaty.",noncentered,0.0,87.0,21.0,13.0,null,15,,target
51,Dawid marzył o dorównaniu Paulinie.,"Gdy Dawid wchodził po schodach, Paulina patrzyła uważnie.","Dawid marzył o dorównaniu Paulinie, która grała na gitarze lepiej od niego.",filler10,,,,,noun,nonsensible,,filler10
52,Adrian przeczytał wiadomość od Kacpra.,"On nie może jednak wyjść z pracy wcześniej, by spotkać się teraz z Adrianem.","Adrian przeczytał wiadomość od Kacpra, który ma do przekazania ważną rzecz.",noncentered,1.0,166.0,21.0,19.0,pronoun,28,,target
53,Lilka zaprzyjaźniła się z Marianką.,Lubiły bawić się razem lalkami.,"Lilka zaprzyjaźniła się z Marianką, która jest od niej młodsza tylko o dwa miesiące.",filler37,,,,,filler,sensible,,filler37
54,Marzena często komplementowała Zosię.,"Zosia aż promieniała, gdy Marzena ją chwaliła.","Marzena często komplementowała Zosię, która ubierała się oryginalne.",noncentered,0.0,11.0,15.0,0.0,noun,2,,target
55,Dla Radka najważniejsze było bezpieczeństwo Oli.,Dlatego wysłał ją na kurs samoobrony.,"Dla Radka najważniejsze było bezpieczeństwo Oli, która często wracała sama do domu po zmroku.",filler22,,,,,filler,sensible,,filler22
56,Rafał często znęcał się nad Grzesiem.,On przez całą drogę do domu przedrzeźniał Grzesia.,"Rafał często znęcał się nad Grzesiem, który nawet nie starał się bronić.",centered,1.0,67.0,14.0,9.0,pronoun,12,,target
57,Krzysztof postanowił zrobić remont w mieszkaniu Dominiki.,"Gdyby Krzysztof nie został strażakiem, Dominice starczyłoby na jabłka.","Krzysztof postanowił zrobić remont w mieszkaniu Dominiki, która w zamian pożyczyła mu samochód.",filler18,,,,,noun,nonsensible,,filler18
58,Konrad umówił się z Błażejem pod sklepem.,"On siedział pod sklepem godzinę, jednak nie doczekał się Błażeja.","Konrad umówił się pod sklepem z Błażejem, który zawsze przychodził punktualnie.",centered,1.0,175.0,19.0,16.0,pronoun,30,,target
59,Kaczor Donald był ulubionym gościem Myszki Miki.,Uwielbiali spędzać ze sobą czas.,"Kaczor Donald był ulubionym gościem Myszki Miki, która z zaciekawieniem słuchała jego opowieści.",filler32,,,,,filler,sensible,,filler32
60,Wiktor uścisnął na koniec dłoń Pawła.,"Paweł zastanawiał się, czy to dobrze, że sprzedał Wiktorowi motocykl.","Wiktor uścisnął na koniec dłoń Pawła, o którym wszyscy dobrze mówili.",noncentered,0.0,41.0,21.0,0.0,noun,7,,target
61,Staś próbował zrobić ulubiony tort Doroty.,"Dobrze robił fikołki, a Dorota lubiła czytać kryminały.","Staś próbował zrobić ulubiony tort Doroty, która bardzo lubiła słodycze.",filler12,,,,,pronoun,nonsensible,,filler12
62,Witold postanowił ścigać się z Mikołajem.,"Witold nie był dziś w formie, a mimo to udało mu się wygrać z Mikołajem.","Witold postanowił ścigać się z Mikołajem, który od roku był niepokonany.",centered,1.0,128.0,23.0,0.0,noun,22,,target
63,Zuzia była najlepszą przyjaciółką Justyny.,Wszystko robiły razem i zawsze były ze sobą zgodne.,"Zuzia była najlepszą przyjaciółką Justyny, która była jej daleką kuzynką.",filler28,,,,,filler,sensible,,filler28
64,Lena nie jest w stanie skontaktować się z Klarą.,"Ona przynajmniej od tygodnia ma zepsuty telefon, więc nie dziwne, że Lena nie może się dodzwonić.","Lena nie jest w stanie skontaktować się z Klarą, która nic jeszcze nie wie o wypadku.",noncentered,0.0,160.0,32.0,26.0,pronoun,27,,target
65,Agnieszka pomagała w lekcjach Adamowi.,"Gdyby nie Agnieszka, Adam by chodził w porwanych skarpetkach.","Agnieszka pomagała w lekcjach Adamowi, który przez dwa miesiące chorował.",filler16,,,,,noun,nonsensible,,filler16
66,Tadeusz codziennie pisał wiersze dla Marii.,Według niego najważniejsze było śpiewanie piosenek dla Marii.,"Tadeusz codziennie pisał wiersze dla Marii, która chowała je wszystkie w szufladzie.",filler13,,,,,pronoun,nonsensible,,filler13
67,Gracjan jest największym fanem The Chainsmokers.,Chodził na wszystkie ich koncerty.,"Gracjan jest największym fanem The Chainsmokers, których manadżerem jest Adam Alpert.",filler33,,,,,filler,sensible,,filler33
68,Jan nie był w stanie wysłać Tadkowi czeku.,"On był tak dumny, że Tadek mógł to zrobić.","Jan nie był w stanie wysłać czeku Tadkowi, który akurat na gwałt potrzebował pieniędzy.",filler1,,,,,pronoun,nonsensible,,filler1
69,Olek znowu zdradził Franciszkę.,Nie mogła sobie z tym poradzić.,"Olek znowu zdradził Franciszkę, z którą nie dogadywał się od dłuższego czasu.",filler38,,,,,filler,sensible,,filler38
