,F1,F2,Unnamed: 1,centering,czy_ostatnie,index,l1,l2sens,realization,set,sylaby przydawka,target
26,Zosia nie potrafiła doradzić Lucynie.,Problem ten był dla niej zbyt skomplikowany.,"Zosia nie potrafiła doradzić Lucynie, która od tygodnia chodziła załamana.",filler25,,,,,filler,sensible,,filler25
27,Ala wysłała Kasię do sklepu po zakupy.,Ala w tym czasie przygotowywała dla Kasi niespodziankę.,"Ala wysłała do sklepu po zakupy Kasię, na której można było zawsze polegać.",centered,0.0,74.0,19.0,0.0,noun,13,,target
28,Maja urodziła dziecko Rafałowi.,Oboje byli bardzo szczęśliwi.,"Maja urodziła dziecko Rafałowi, który zawsze chciał być ojcem.",filler35,,,,,filler,sensible,,filler35
29,Agnieszka pomagała w lekcjach Adamowi.,"Gdyby nie Agnieszka, Adam by chodził w porwanych skarpetkach.","Agnieszka pomagała w lekcjach Adamowi, który przez dwa miesiące chorował.",filler16,,,,,noun,nonsensible,,filler16
30,Igor usiadł w ławce razem z Albertem.,"Był zadowolony, że się udało, bo zawsze bardzo dobrze mu się pracowało z Igorem.","Igor usiadł w ławce razem z Albertem, który był pełen zapału do pracy.",noncentered,1.0,153.0,28.0,25.0,null,26,,target
31,Tadeusz codziennie pisał wiersze dla Marii.,Według niego najważniejsze było śpiewanie piosenek dla Marii.,"Tadeusz codziennie pisał wiersze dla Marii, która chowała je wszystkie w szufladzie.",filler13,,,,,pronoun,nonsensible,,filler13
32,Sonia pożyczyła rower od Niny.,"Miała później wyrzuty sumienia, ponieważ w drodze do pracy Sonię potrącił samochód.","Sonia pożyczyła rower od Niny, która szykowała się do wyjścia.",noncentered,0.0,171.0,27.0,19.0,null,29,,target
33,Zrozpaczona Zosia przytuliła się do Maćka.,"Zosia przeczytała ""Lalkę"", którą Maciek omawiał na lekcji.","Zrozpaczona Zosia przytuliła się do Maćka, na którego zawsze mogła liczyć.",filler20,,,,,noun,nonsensible,,filler20
34,Olga przepisała pracę domową od Ani.,"Ona nie podejrzewała, jakie nieprzyjemności będzie miała z tego powodu Ania.","Olga przepisała pracę domową od Ani, która popełniła specyficzny błąd.",centered,1.0,133.0,27.0,25.0,pronoun,23,,target
35,Adrian zawsze liczył się ze zdaniem Gosi.,"Uważał, że ona ma naprawdę fantastyczny gust.","Adrian zawsze liczył się ze zdaniem Gosi, która zajmowała się aranżacją wnętrz.",filler34,,,,,filler,sensible,,filler34
36,Basia w sekrecie powiedziała Oli o wypadku.,"Ola wie, że nie dotrzyma tajemnicy, mimo że obiecała Basi, że nic nikomu nie powie.","Basia w sekrecie powiedziała o wypadku Oli, której oczy lśniły z ciekawości.",noncentered,0.0,119.0,23.0,0.0,noun,20,,target
37,Kaczor Donald był ulubionym gościem Myszki Miki.,Uwielbiali spędzać ze sobą czas.,"Kaczor Donald był ulubionym gościem Myszki Miki, która z zaciekawieniem słuchała jego opowieści.",filler32,,,,,filler,sensible,,filler32
38,Marcin nie lubi pracować z Hubertem.,"Marcin często bardzo się złości, gdy Marcin stara się mu pomóc.","Marcin nie lubi pracować z Hubertem, który jest jego najbliższym sąsiadem.",noncentered,0.0,95.0,16.0,0.0,noun,16,,target
39,Łukaszowi bardzo podoba się Natalia.,"Chciałby ją zaprosić na randkę, ale boi się odrzucenia.","Łukaszowi bardzo podoba się Natalia, którą spotkał na kursie spadochronowym.",filler27,,,,,filler,sensible,,filler27
40,Jacek szczerze przeprosił Piotra.,Jacek był wczoraj bardzo niemiły dla Piotra.,"Jacek szczerze przeprosił Piotra, który cały dzień uparcie milczał.",centered,1.0,2.0,13.0,0.0,noun,1,,target
41,Wojtek przepisał od Andrzeja pracę domową.,Niestety nauczyciel przyłapał ich na oszustwie.,"Wojtek przepisał pracę domową od Andrzeja, który jest pupilkiem matematyka.",filler26,,,,,filler,sensible,,filler26
42,Witold postanowił ścigać się z Mikołajem.,"Nie był dziś w formie, a mimo to udało mu się wygrać z Mikołajem.","Witold postanowił ścigać się z Mikołajem, który od roku był niepokonany.",centered,1.0,126.0,21.0,18.0,null,22,11.0,target
43,Szczepan poszedł na imprezę z Olą.,Według Szczepana największe szanse w maratonie ma Ola.,"Szczepan poszedł na imprezę z Olą, która przyniosła wino i sernik.",filler19,,,,,noun,nonsensible,,filler19
44,Rafał często znęcał się nad Grzesiem.,On w końcu któregoś dnia postanowił poskarżyć się na Rafała.,"Rafał często znęcał się nad Grzesiem, który nawet nie starał się bronić.",noncentered,1.0,70.0,15.0,12.0,pronoun,12,,target
45,Aniela znalazła pracę w firmie Bartka.,Zawsze lubili razem pracować.,"Aniela znalazła pracę w firmie Bartka, który zaproponował jej wolną posadę.",filler36,,,,,filler,sensible,,filler36
46,Adrian przeczytał wiadomość od Kacpra.,"Kacper nie może jednak wyjść z pracy wcześniej, by spotkać się teraz z Adrianem.","Adrian przeczytał wiadomość od Kacpra, który ma do przekazania ważną rzecz.",noncentered,1.0,167.0,22.0,0.0,noun,28,,target
47,Teresa wrzuciła do skrytki Marty banknot.,"Ona była zawsze umalowana, czego zazdrościła jej Marta.","Teresa wrzuciła banknot do skrytki Marty, której była winna pieniądze.",filler5,,,,,pronoun,nonsensible,,filler5
48,Mateusz zaraził się grypą od Adriana.,Żaden z nich nie był zaszczepiony.,"Mateusz zaraził się grypą od Adriana, z którym widział się tylko dziesięć minut.",filler29,,,,,filler,sensible,,filler29
49,Bartek z wściekłością wyrzucił Maćka z pokoju.,"On zawsze strasznie hałasował, gdy Bartek chciał się skoncentrować.","Bartek z wściekłością wyrzucił z pokoju Maćka, który bardzo głośno słuchał muzyki.",noncentered,0.0,52.0,18.0,10.0,pronoun,9,,target
50,Klara zawsze wytrącała Jagodę z równowagi.,Klara nigdy nie spóźniała się na korepetycje u Jagody.,"Klara zawsze wytrącała z równowagi Jagodę, która jej po prostu nie znosiła.",filler6,,,,,noun,nonsensible,,filler6
51,Darek zobaczył Wojtka przy przejściu dla pieszych.,"On zamachał energicznie, by zwrócić uwagę Wojtka.","Darek zobaczył przy przejściu dla pieszych Wojtka, który patrzył właśnie w inną stronę.",centered,1.0,109.0,16.0,14.0,pronoun,19,,target
52,Ula pomogła sprzątnąć dom Mariuszowi.,Sam by sobie nie poradził z tym bałaganem.,"Ula pomogła sprzątnąć dom Mariuszowi, który nie jest zbyt zaradny.",filler40,,,,,filler,sensible,,filler40
53,Grażyna przesłała e-mailem Klarze podziękowania.,"Ona nie wiedziała, co powinna odpowiedzieć Grażynie.","Grażyna przesłała e-mailem podziękowania Klarze, której pomoc była nieoceniona.",noncentered,1.0,28.0,14.0,12.0,pronoun,5,,target
54,Paweł uczył Paulinę jeździć na łyżwach.,Dlatego poszli na lodowisko.,"Paweł uczył jeździć na łyżwach Paulinę, którą już od miesiąca stara się poderwać.",filler39,,,,,filler,sensible,,filler39
55,Tomek znalazł w szatni zeszyt Kuby.,Nie mógł go znaleźć od tygodnia i teraz był wdzięczny Tomkowi.,"Tomek znalazł w szatni zeszyt Kuby, który uczył się do egzaminu.",noncentered,1.0,21.0,17.0,15.0,null,4,,target
56,Zuzia była najlepszą przyjaciółką Justyny.,Wszystko robiły razem i zawsze były ze sobą zgodne.,"Zuzia była najlepszą przyjaciółką Justyny, która była jej daleką kuzynką.",filler28,,,,,filler,sensible,,filler28
57,Jan wygrał tym razem w szachy z Krzysztofem.,"On często miał problem, gdy Jan grał białymi.","Jan wygrał tym razem w szachy z Krzysztofem, który miał ostatnio dobrą passę.",noncentered,0.0,16.0,12.0,7.0,pronoun,3,,target
58,Kacper zabrał Sebastiana na wycieczkę.,Sebastianowi podobała się ich wspólna wyprawa.,"Kacper zabrał na wycieczkę Sebastiana, który nigdy wcześniej nie był za granicą.",filler21,,,,,filler,sensible,,filler21
59,Ada wyszła z Krysią na spacer.,"Krysia zebrała się wreszcie na odwagę, by wyznać wszystko Adzie.","Ada wyszła na spacer z Krysią, która ostatnio unikała spotkań.",noncentered,1.0,125.0,17.0,0.0,noun,21,,target
60,Tymon chodził na korepetycje z Krystianem.,Jego mama kupowała sukienki dla Krystiana.,"Tymon chodził na korepetycje z Krystianem, który był w równoległej klasie.",filler15,,,,,pronoun,nonsensible,,filler15
61,Michał zadzwonił wcześnie rano do Karola.,"Miał ważną sprawę, dlatego Michał oddzwonił, gdy tylko wstał.","Michał zadzwonił wcześnie rano do Karola, który bardzo często wstawał przed szóstą.",noncentered,0.0,57.0,17.0,8.0,null,10,,target
62,Krzysztof postanowił zrobić remont w mieszkaniu Dominiki.,"Gdyby Krzysztof nie został strażakiem, Dominice starczyłoby na jabłka.","Krzysztof postanowił zrobić remont w mieszkaniu Dominiki, która w zamian pożyczyła mu samochód.",filler18,,,,,noun,nonsensible,,filler18
63,Jurek bardzo pokłócił się z Leszkiem.,"On nie mógł zrozumieć, dlaczego nie może przekonać Jurka do swojego zdania.","Jurek bardzo pokłócił się z Leszkiem, który zazwyczaj unikał konfliktów.",noncentered,0.0,142.0,24.0,13.0,pronoun,24,,target
64,Staś zawsze podziwiał Rafała.,Był dla niego kimś w rodzaju starszego brata.,"Staś zawsze podziwiał Rafała, który był już prawie dorosły.",filler23,,,,,filler,sensible,,filler23
65,Marzena często komplementowała Zosię.,"Marzena zawsze uważała, że Zosia ma dobry gust.","Marzena często komplementowała Zosię, która ubierała się oryginalne.",centered,0.0,8.0,16.0,0.0,noun,2,,target
66,Mikołaj co roku przynosił prezenty Tosi.,On bardzo lubił pleść Tosi warkocze.,"Mikołaj co roku przynosił prezenty Tosi, która zawsze starała się być grzeczna.",filler11,,,,,pronoun,nonsensible,,filler11
67,Staś pomógł Adamowi myć samochód.,"Adam wiedział, że prawdopodobnie Staś będzie chciał zapłatę.","Staś pomógł myć samochód Adamowi, który robił to pierwszy raz w życiu.",noncentered,0.0,83.0,17.0,0.0,noun,14,,target
68,Grzegorz naprawił ulubiony zegar Jana.,Jego firanki nigdy nie miały dla Jana znaczenia.,"Grzegorz naprawił ulubiony zegar Jana, który bardzo sobie cenił tę pamiątkę po dziadkach.",filler4,,,,,pronoun,nonsensible,,filler4
69,Gracjan jest największym fanem The Chainsmokers.,Chodził na wszystkie ich koncerty.,"Gracjan jest największym fanem The Chainsmokers, których manadżerem jest Adam Alpert.",filler33,,,,,filler,sensible,,filler33
