,F1,F2,Unnamed: 1,centering,czy_ostatnie,index,l1,l2sens,realization,set,sylaby przydawka,target
10,Mateusz zaraził się grypą od Adriana.,Żaden z nich nie był zaszczepiony.,"Mateusz zaraził się grypą od Adriana, z którym widział się tylko dziesięć minut.",filler29,,,,,filler,sensible,,filler29
11,Lena nie jest w stanie skontaktować się z Klarą.,"Przynajmniej od tygodnia ma zepsuty telefon, więc nie dziwne, że Lena nie może się dodzwonić.","Lena nie jest w stanie skontaktować się z Klarą, która nic jeszcze nie wie o wypadku.",noncentered,0.0,159.0,30.0,24.0,null,27,,target
12,Teresa wrzuciła do skrytki Marty banknot.,"Ona była zawsze umalowana, czego zazdrościła jej Marta.","Teresa wrzuciła banknot do skrytki Marty, której była winna pieniądze.",filler5,,,,,pronoun,nonsensible,,filler5
13,Aniela znalazła pracę w firmie Bartka.,Zawsze lubili razem pracować.,"Aniela znalazła pracę w firmie Bartka, który zaproponował jej wolną posadę.",filler36,,,,,filler,sensible,,filler36
14,"Paula wiedziała, na co może liczyć ze strony Łucji.",Dla niej najważniejszy był ulubiony grzebień Łucji.,"Paula wiedziała, na co może liczyć ze strony Łucji, która już nie raz dała się poznać ze złej strony.",filler3,,,,,pronoun,nonsensible,,filler3
15,Ula pomogła sprzątnąć dom Mariuszowi.,Sam by sobie nie poradził z tym bałaganem.,"Ula pomogła sprzątnąć dom Mariuszowi, który nie jest zbyt zaradny.",filler40,,,,,filler,sensible,,filler40
16,Werka pogłaskała Łatkę po głowie.,"Łatka zawsze przychodziła, gdy chciała, żeby Werka się nią zajęła.","Werka pogłaskała po głowie Łatkę, która bardzo lubiła być pieszczona.",noncentered,0.0,47.0,20.0,0.0,noun,8,,target
17,Mikołaj co roku przynosił prezenty Tosi.,On bardzo lubił pleść Tosi warkocze.,"Mikołaj co roku przynosił prezenty Tosi, która zawsze starała się być grzeczna.",filler11,,,,,pronoun,nonsensible,,filler11
18,Olga przepisała pracę domową od Ani.,"Ania nie podejrzewała, jakie nieprzyjemności będzie miała z tego powodu Olga.","Olga przepisała pracę domową od Ani, która popełniła specyficzny błąd.",noncentered,1.0,137.0,27.0,0.0,noun,23,,target
19,Staś zawsze podziwiał Rafała.,Był dla niego kimś w rodzaju starszego brata.,"Staś zawsze podziwiał Rafała, który był już prawie dorosły.",filler23,,,,,filler,sensible,,filler23
20,Igor usiadł w ławce razem z Albertem.,"Igor był zadowolony, że się udało, bo zawsze bardzo dobrze mu się pracowało z Albertem.","Igor usiadł w ławce razem z Albertem, który był pełen zapału do pracy.",centered,1.0,152.0,30.0,0.0,noun,26,,target
21,Gracjan jest największym fanem The Chainsmokers.,Chodził na wszystkie ich koncerty.,"Gracjan jest największym fanem The Chainsmokers, których manadżerem jest Adam Alpert.",filler33,,,,,filler,sensible,,filler33
22,Staś pomógł Adamowi myć samochód.,"Mył szyby specjalnym płynem, a Adam czyścił pastą felgi.","Staś pomógł myć samochód Adamowi, który robił to pierwszy raz w życiu.",centered,0.0,78.0,17.0,9.0,null,14,11.0,target
23,Szczepan poszedł na imprezę z Olą.,Według Szczepana największe szanse w maratonie ma Ola.,"Szczepan poszedł na imprezę z Olą, która przyniosła wino i sernik.",filler19,,,,,noun,nonsensible,,filler19
24,Jurek bardzo pokłócił się z Leszkiem.,"On nie mógł zrozumieć, dlaczego nie może przekonać Leszka do swojego zdania.","Jurek bardzo pokłócił się z Leszkiem, który zazwyczaj unikał konfliktów.",centered,0.0,139.0,24.0,13.0,pronoun,24,,target
25,Marcin starał się uspokoić Magdalenę.,"Dla Marcina w miarę postępów było coraz jaśniejsze, dlaczego to Magdalena.","Marcin starał się uspokoić Magdalenę, która od godziny nie mogła przestać płakać.",filler8,,,,,noun,nonsensible,,filler8
26,Marzena często komplementowała Zosię.,"Ona zawsze uważała, że Zosia ma dobry gust.","Marzena często komplementowała Zosię, która ubierała się oryginalne.",centered,0.0,7.0,15.0,9.0,pronoun,2,,target
27,Klemens gotował razem z Heleną obiad.,Niestety zagapili się i przypaliła im się zupa.,"Klemens gotował obiad razem z Heleną, która cały czas żartowała ze swoich z rodziców.",filler24,,,,,filler,sensible,,filler24
28,Michał zadzwonił wcześnie rano do Karola.,"Michał miał ważną sprawę, dlatego chciał szybko skontaktować się z Karolem.","Michał zadzwonił wcześnie rano do Karola, który bardzo często wstawał przed szóstą.",centered,1.0,56.0,22.0,0.0,noun,10,,target
29,Prosiaczek lubił jeść z Puchatkiem miód.,"On często ziewał, gdy Puchatek wchodził na drzewo.","Prosiaczek lubił jeść miód z Puchatkiem, który mieszkał na zachód od Stumilowego Lasu.",filler14,,,,,pronoun,nonsensible,,filler14
30,Asia znalazła na strychu stary pamiętnik Ewy.,"Ewa, pamiętając, co kiedyś o niej napisała, nie mogła zdobyć się na rozmowę z Asią.","Asia znalazła na strychu stary pamiętnik Ewy, która zawsze wydawała się miła.",noncentered,1.0,65.0,28.0,0.0,noun,11,,target
31,Tymon chodził na korepetycje z Krystianem.,Jego mama kupowała sukienki dla Krystiana.,"Tymon chodził na korepetycje z Krystianem, który był w równoległej klasie.",filler15,,,,,pronoun,nonsensible,,filler15
32,Ada wyszła z Krysią na spacer.,"Ada zebrała się wreszcie na odwagę, by wyznać wszystko Krysi.","Ada wyszła na spacer z Krysią, która ostatnio unikała spotkań.",centered,1.0,122.0,17.0,0.0,noun,21,,target
33,Zosia nie potrafiła doradzić Lucynie.,Problem ten był dla niej zbyt skomplikowany.,"Zosia nie potrafiła doradzić Lucynie, która od tygodnia chodziła załamana.",filler25,,,,,filler,sensible,,filler25
34,Sonia pożyczyła rower od Niny.,"Ona miała później wyrzuty sumienia, ponieważ w drodze do pracy Sonię potrącił samochód.","Sonia pożyczyła rower od Niny, która szykowała się do wyjścia.",noncentered,0.0,172.0,29.0,21.0,pronoun,29,,target
35,Katastrofa Dominiki bardzo dotknęła Wojtka.,Wojtek wlazł na łóżko Dominiki i zawinął się w prześcieradło.,"Katastrofa Dominiki bardzo dotknęła Wojtka, który nie umiał ukryć swojej troski o nią.",filler9,,,,,noun,nonsensible,,filler9
36,Jacek szczerze przeprosił Piotra.,On był wczoraj bardzo niemiły dla Piotra.,"Jacek szczerze przeprosił Piotra, który cały dzień uparcie milczał.",centered,1.0,1.0,12.0,6.0,pronoun,1,,target
37,Zuzia była najlepszą przyjaciółką Justyny.,Wszystko robiły razem i zawsze były ze sobą zgodne.,"Zuzia była najlepszą przyjaciółką Justyny, która była jej daleką kuzynką.",filler28,,,,,filler,sensible,,filler28
38,Tadeusz codziennie pisał wiersze dla Marii.,Według niego najważniejsze było śpiewanie piosenek dla Marii.,"Tadeusz codziennie pisał wiersze dla Marii, która chowała je wszystkie w szufladzie.",filler13,,,,,pronoun,nonsensible,,filler13
39,Witold postanowił ścigać się z Mikołajem.,"Nie był dziś w formie, a mimo to udało mu się wygrać z Witoldem.","Witold postanowił ścigać się z Mikołajem, który od roku był niepokonany.",noncentered,1.0,129.0,21.0,19.0,null,22,,target
40,Staś próbował zrobić ulubiony tort Doroty.,"Dobrze robił fikołki, a Dorota lubiła czytać kryminały.","Staś próbował zrobić ulubiony tort Doroty, która bardzo lubiła słodycze.",filler12,,,,,pronoun,nonsensible,,filler12
41,Darek zobaczył Wojtka przy przejściu dla pieszych.,"Wojtek rozglądał się uważnie, wypatrując Darka.","Darek zobaczył przy przejściu dla pieszych Wojtka, który patrzył właśnie w inną stronę.",noncentered,1.0,113.0,15.0,0.0,noun,19,,target
42,Kasia straciła zaufanie do Janiny.,"Gdyby nie jej torebka, to Janina miałaby więcej szczęścia.","Kasia straciła zaufanie do Janiny, z którą już wcześniej pracowała przy zbiorach.",filler2,,,,,pronoun,nonsensible,,filler2
43,Dawid marzył o dorównaniu Paulinie.,"Gdy Dawid wchodził po schodach, Paulina patrzyła uważnie.","Dawid marzył o dorównaniu Paulinie, która grała na gitarze lepiej od niego.",filler10,,,,,noun,nonsensible,,filler10
44,Marta kupiła Natalii wielki bukiet róż.,"Ona była zaskoczona, że choć się nie lubią, to Marta zdobyła się na taki gest.","Marta kupiła wielki bukiet róż Natalii, która bardzo lubiła cięte kwiaty.",noncentered,0.0,88.0,23.0,15.0,pronoun,15,,target
45,Dla Radka najważniejsze było bezpieczeństwo Oli.,Dlatego wysłał ją na kurs samoobrony.,"Dla Radka najważniejsze było bezpieczeństwo Oli, która często wracała sama do domu po zmroku.",filler22,,,,,filler,sensible,,filler22
46,Adrian przeczytał wiadomość od Kacpra.,"On nie może jednak wyjść z pracy wcześniej, by spotkać się teraz z Kacprem.","Adrian przeczytał wiadomość od Kacpra, który ma do przekazania ważną rzecz.",centered,1.0,163.0,21.0,19.0,pronoun,28,,target
47,Łukaszowi bardzo podoba się Natalia.,"Chciałby ją zaprosić na randkę, ale boi się odrzucenia.","Łukaszowi bardzo podoba się Natalia, którą spotkał na kursie spadochronowym.",filler27,,,,,filler,sensible,,filler27
48,Konrad umówił się z Błażejem pod sklepem.,"Siedział pod sklepem godzinę, jednak nie doczekał się Konrada.","Konrad umówił się pod sklepem z Błażejem, który zawsze przychodził punktualnie.",noncentered,1.0,177.0,18.0,15.0,null,30,,target
49,Grzegorz naprawił ulubiony zegar Jana.,Jego firanki nigdy nie miały dla Jana znaczenia.,"Grzegorz naprawił ulubiony zegar Jana, który bardzo sobie cenił tę pamiątkę po dziadkach.",filler4,,,,,pronoun,nonsensible,,filler4
50,Rafał często znęcał się nad Grzesiem.,Przez całą drogę do domu przedrzeźniał Grzesia.,"Rafał często znęcał się nad Grzesiem, który nawet nie starał się bronić.",centered,1.0,66.0,13.0,8.0,null,12,10.0,target
51,Marek kopnął w nogę Ziemowita.,Największe dzieło Marka podobało się najbardziej Ziemowitowi.,"Marek kopnął w nogę Ziemowita, który był po prostu bardzo irytujący.",filler7,,,,,noun,nonsensible,,filler7
52,Jan nie był w stanie wysłać Tadkowi czeku.,"On był tak dumny, że Tadek mógł to zrobić.","Jan nie był w stanie wysłać czeku Tadkowi, który akurat na gwałt potrzebował pieniędzy.",filler1,,,,,pronoun,nonsensible,,filler1
53,Agnieszka pomagała w lekcjach Adamowi.,"Gdyby nie Agnieszka, Adam by chodził w porwanych skarpetkach.","Agnieszka pomagała w lekcjach Adamowi, który przez dwa miesiące chorował.",filler16,,,,,noun,nonsensible,,filler16
54,Sylwia w gniewie zepchnęła Malwinę ze schodów.,"Była wstrząśnięta tym, że Malwina przespała się z jej mężem.","Sylwia w gniewie zepchnęła ze schodów Malwinę, która nawet nie zdążyła krzyknąć.",centered,0.0,30.0,17.0,7.0,null,6,10.0,target
55,Lilka zaprzyjaźniła się z Marianką.,Lubiły bawić się razem lalkami.,"Lilka zaprzyjaźniła się z Marianką, która jest od niej młodsza tylko o dwa miesiące.",filler37,,,,,filler,sensible,,filler37
56,Wiktor uścisnął na koniec dłoń Pawła.,"On zastanawiał się, czy to dobrze, że sprzedał Wiktorowi motocykl.","Wiktor uścisnął na koniec dłoń Pawła, o którym wszyscy dobrze mówili.",noncentered,0.0,40.0,20.0,13.0,pronoun,7,,target
57,Kaczor Donald był ulubionym gościem Myszki Miki.,Uwielbiali spędzać ze sobą czas.,"Kaczor Donald był ulubionym gościem Myszki Miki, która z zaciekawieniem słuchała jego opowieści.",filler32,,,,,filler,sensible,,filler32
58,Bartek z wściekłością wyrzucił Maćka z pokoju.,"Bartek szybko się denerwował, gdy Maciek przeszkadzał mu w pracy.","Bartek z wściekłością wyrzucił z pokoju Maćka, który bardzo głośno słuchał muzyki.",centered,0.0,50.0,19.0,0.0,noun,9,,target
59,Irena odziedziczyła cały spadek po Konradzie.,Stała się z dnia na dzień obrzydliwie bogata.,"Irena odziedziczyła cały spadek po Konradzie, który niespodziewanie zmarł w czasie wakacji.",filler30,,,,,filler,sensible,,filler30
60,Hania zgubiła podczas wycieczki złote kolczyki Julii.,"Będzie musiała przyznać się mamie, że pożyczyła kolczyki Hani.","Hania zgubiła podczas wycieczki złote kolczyki Julii, która lubiła ładną biżuterię.",noncentered,1.0,105.0,20.0,18.0,null,18,,target
61,Adrian zawsze liczył się ze zdaniem Gosi.,"Uważał, że ona ma naprawdę fantastyczny gust.","Adrian zawsze liczył się ze zdaniem Gosi, która zajmowała się aranżacją wnętrz.",filler34,,,,,filler,sensible,,filler34
62,Tomek znalazł w szatni zeszyt Kuby.,"Ucieszył się, bo już dawno temu miał go zwrócić Kubie.","Tomek znalazł w szatni zeszyt Kuby, który uczył się do egzaminu.",centered,1.0,18.0,16.0,12.0,null,4,10.0,target
63,Wojtek przepisał od Andrzeja pracę domową.,Niestety nauczyciel przyłapał ich na oszustwie.,"Wojtek przepisał pracę domową od Andrzeja, który jest pupilkiem matematyka.",filler26,,,,,filler,sensible,,filler26
64,Marysia pozmywała naczynia za Sonię.,"Ona musi się nauczyć, żeby nie obciążać swoimi obowiązkami Marysi.","Marysia pozmywała naczynia za Sonię, która znów nie wyrabia się z pracą.",noncentered,1.0,100.0,19.0,17.0,pronoun,17,,target
65,Maja urodziła dziecko Rafałowi.,Oboje byli bardzo szczęśliwi.,"Maja urodziła dziecko Rafałowi, który zawsze chciał być ojcem.",filler35,,,,,filler,sensible,,filler35
66,Daria wybrała się razem z Kingą na wyprawę górską.,"Zastanawia się, czy spanie w szałasie nie będzie zbyt uciążliwe dla Kingi.","Daria wybrała się na wyprawę górską razem z Kingą, która od dawna chciała gdzieś wyjechać.",centered,1.0,144.0,23.0,21.0,null,25,11.0,target
67,Kacper zabrał Sebastiana na wycieczkę.,Sebastianowi podobała się ich wspólna wyprawa.,"Kacper zabrał na wycieczkę Sebastiana, który nigdy wcześniej nie był za granicą.",filler21,,,,,filler,sensible,,filler21
68,Basia w sekrecie powiedziała Oli o wypadku.,"Ona wie, że nie dotrzyma tajemnicy, mimo że obiecała Basi, że nic nikomu nie powie.","Basia w sekrecie powiedziała o wypadku Oli, której oczy lśniły z ciekawości.",noncentered,0.0,118.0,23.0,18.0,pronoun,20,,target
69,Krzysztof postanowił zrobić remont w mieszkaniu Dominiki.,"Gdyby Krzysztof nie został strażakiem, Dominice starczyłoby na jabłka.","Krzysztof postanowił zrobić remont w mieszkaniu Dominiki, która w zamian pożyczyła mu samochód.",filler18,,,,,noun,nonsensible,,filler18
