,F0,F1,F2,l1,l2sens,czy_ostatnie,realization,centering,set,target,Unnamed: 10,index
18,Paweł w młodości dużo grał w hokeja.,Uczył Paulinę jeździć na łyżwach.,Dlatego poszli na lodowisko.,,,,filler,filler39,sensible,filler39,,
19,Ala miała tego dnia dużo obowiązków.,Wysłała Kasię do sklepu po zakupy.,Ona w tym czasie przygotowywała dla Kasi niespodziankę.,19.0,13.0,0.0,pronoun,centered,13,target,,73.0
20,Adrian potrzebował rady w sprawie wystroju mieszkania.,Zawsze liczył się ze zdaniem Gosi.,"Uważał, że ona ma naprawdę fantastyczny gust.",,,,filler,filler34,sensible,filler34,,
21,Werka weszła do mieszkania po długim dniu pracy.,Pogłaskała Łatkę po głowie.,"Ona zawsze przychodziła, gdy chciała, żeby Werka się nią zajęła.",20.0,13.0,0.0,pronoun,noncentered,8,target,,46.0
22,Alicji skończył się zasiłek dla bezrobotnych.,Znalazła pracę w firmie Bartka.,Zawsze lubili razem pracować.,,,,filler,filler36,sensible,filler36,,
23,Jacka męczyły wyrzuty sumienia.,Dlatego szczerze przeprosił Piotra.,Jacek był wczoraj bardzo niemiły dla Piotra.,13.0,0.0,1.0,noun,centered,1,target,,2.0
24,Tymon przygotowywał się do matury z biologii.,Chodził na korepetycje z Krystianem.,Jego mama kupowała sukienki dla Krystiana.,,,,pronoun,filler15,nonsensible,filler15,,
25,Rafał nie był grzecznym chłopcem.,Często znęcał się nad Grzesiem.,W końcu któregoś dnia postanowił poskarżyć się na Rafała. ,14.0,11.0,1.0,null,noncentered,12,target,,69.0
26,Grzegorz był prawdziwą złotą rączką.,Naprawił ulubiony zegar Jana.,Jego firanki nigdy nie miały dla Jana znaczenia.,,,,pronoun,filler4,nonsensible,filler4,,
27,Marcinowi nie jest łatwo odnaleźć się w nowej pracy.,Nie lubi pracować z Hubertem.,"Hubert często bardzo się złości, gdy Marcin stara się mu pomóc.",16.0,0.0,0.0,noun,noncentered,16,target,,95.0
28,Mikołaj pamiętał o urodzinach swoich bliskich.,Co roku przynosił prezenty Tosi.,On bardzo lubił pleść Tosi warkocze.,,,,pronoun,filler11,nonsensible,filler11,,
29,Konrad chciał zrobić zakupy na imprezę urodzinową.,Umówił się z Błażejem pod sklepem.,"Konrad siedział pod sklepem godzinę, jednak nie doczekał się Błażeja.",20.0,0.0,1.0,noun,centered,30,target,,176.0
30,"Weronika nie wiedziała, co powiedzieć.",Nie potrafiła doradzić Lucynie.,Problem ten był dla niej zbyt skomplikowany.,,,,filler,filler25,sensible,filler25,,
31,Bartek zdenerwowany usiadł do odrabiania pracy domowej.,Z wściekłością wyrzucił Maćka z pokoju.,"On zawsze strasznie hałasował, gdy Bartek chciał się skoncentrować.",18.0,10.0,0.0,pronoun,noncentered,9,target,,52.0
32,Mateusz od kilku dni przeraźliwie kaszlał.,Zaraził się grypą od Adriana.,Żaden z nich nie był zaszczepiony.,,,,filler,filler29,sensible,filler29,,
33,Olga znów nie odrobiła lekcji.,Przepisała pracę domową od Ani.,"Ona nie podejrzewała, jakie nieprzyjemności będzie miała z tego powodu Olga.",27.0,25.0,1.0,pronoun,noncentered,23,target,,136.0
34,Lilka szybko odnalazła się w nowym przedszkolu.,Zaprzyjaźniła się z Marianką.,Lubiły bawić się razem lalkami.,,,,filler,filler37,sensible,filler37,,
35,Sylwia była niezwykle wzburzona.,W gniewie zepchnęła Malwinę ze schodów.,"Była wstrząśnięta tym, że Malwina przespała się z jej mężem.",17.0,7.0,0.0,null,centered,6,target,,30.0
36,"Staś miał kilku kolegów, z którymi lubił spędzać czas.",Zawsze podziwiał Rafała.,Był dla niego kimś w rodzaju starszego brata.,,,,filler,filler23,sensible,filler23,,
37,Asia lubi wściubiać nos w nie swoje sprawy.,Znalazła na strychu stary pamiętnik Ewy.,"Ewa, pamiętając, co kiedyś o niej napisała, nie mogła zdobyć się na rozmowę z Asią.",28.0,0.0,1.0,noun,noncentered,11,target,,65.0
38,Paula poprosiła o pożyczkę Łucję.,"Wiedziała, na co może liczyć ze strony Łucji.",Dla niej najważniejszy był ulubiony grzebień Łucji.,,,,pronoun,filler3,nonsensible,filler3,,
39,Jan bardzo lubi rywalizować z innymi chłopcami.,Wygrał tym razem w szachy z Krzysztofem.,Jan był znacznie silniejszym graczem niż Krzysztof.,13.0,0.0,1.0,noun,centered,3,target,,14.0
40,Gracjan to entuzjasta muzyki elektronicznej.,Jest największym fanem The Chainsmokers.,Chodził na wszystkie ich koncerty.,,,,filler,filler33,sensible,filler33,,
41,Marysia zawsze wyręczała swoich podopiecznych.,Pozmywała naczynia za Sonię.,"Musi się nauczyć, żeby nie obciążać swoimi obowiązkami Marysi.",17.0,15.0,1.0,null,noncentered,17,target,,99.0
42,Dawid miał ambicję zostania najlepszym matematykiem w klasie.,Marzył o dorównaniu Paulinie.,"Gdy Dawid wchodził po schodach, Paulina patrzyła uważnie.",,,,noun,filler10,nonsensible,filler10,,
43,"Darek zatrzymał się, zobaczywszy czerwone światło.",Zobaczył Wojtka przy przejściu dla pieszych.,"Zamachał energicznie, by zwrócić uwagę Wojtka.",15.0,13.0,1.0,null,centered,19,target,,108.0
44,Krzysztof dostał dużą premię od swojego szefa.,Postanowił zrobić remont w mieszkaniu Dominiki.,"Gdyby Krzysztof nie został strażakiem, Dominice starczyłoby na jabłka.",,,,noun,filler18,nonsensible,filler18,,
45,Sonia zapomniała zatankować i jej samochód nie ruszył.,Pożyczyła rower od Niny.,"Ona miała później wyrzuty sumienia, ponieważ przez to Nina spóźniła się do pracy.",21.0,17.0,0.0,pronoun,centered,29,target,,169.0
46,Dominika oblała egzamin wstępny na studia.,Jej katastrofa bardzo dotknęła Wojtka.,Wojtek wlazł na łóżko Dominiki i zawinął się w prześcieradło.,,,,noun,filler9,nonsensible,filler9,,
47,Hania jest roztrzepana i bardzo nieuważna.,Zgubiła podczas wycieczki złote kolczyki Julii.,"Ona będzie musiała przyznać się mamie, że pożyczyła kolczyki od Julii.",23.0,21.0,1.0,pronoun,centered,18,target,,103.0
48,Kaczor Donald często odwiedzał Myszogród.,Był ulubionym gościem Myszki Miki.,Uwielbiali spędzać ze sobą czas.,,,,filler,filler32,sensible,filler32,,
49,Jurek miał mieszane uczucia po dzisiejszym spotkaniu.,Bardzo pokłócił się z Leszkiem.,"On nie mógł zrozumieć, dlaczego nie może przekonać Jurka do swojego zdania.",24.0,13.0,0.0,pronoun,noncentered,24,target,,142.0
50,"Radek wiedział, że w ich dzielnicy jest w nocy niebezpiecznie.",Dla niego najważniejsze było bezpieczeństwo Oli.,Dlatego wysłał ją na kurs samoobrony.,,,,filler,filler22,sensible,filler22,,
51,Daria postanowiła zorganizować wycieczkę.,Wybrała się razem z Kingą na wyprawę górską.,"Zastanawia się, czy spanie w szałasie nie będzie zbyt uciążliwe dla Kingi.",23.0,21.0,1.0,null,centered,25,target,,144.0
52,Jan miał znów problemy ze swoim bankiem.,Nie był w stanie wysłać Tadkowi czeku.,"On był tak dumny, że Tadek mógł to zrobić.",,,,pronoun,filler1,nonsensible,filler1,,
53,Grażyna usiadła przy komputerze.,Przesłała e-mailem Klarze podziękowania.,"Grażyna cieszyła się, że udało się jej szczerze porozmawiać z Klarą.",22.0,0.0,1.0,noun,centered,5,target,,26.0
54,Wojtek znów nie przygotował się do lekcji.,Przepisał od Andrzeja pracę domową.,Niestety nauczyciel przyłapał ich na oszustwie.,,,,filler,filler26,sensible,filler26,,
55,Marek miał już dość nieczystej gry przeciwników.,Kopnął w nogę Ziemowita.,Największe dzieło Marka podobało się najbardziej Ziemowitowi.,,,,noun,filler7,nonsensible,filler7,,
56,Witold był bardzo ambitnym biegaczem przełajowym.,Postanowił ścigać się z Mikołajem.,"On nie był dziś w formie, a mimo to udało mu się wygrać z Mikołajem.",22.0,19.0,1.0,pronoun,centered,22,target,,127.0
57,Agnieszka była świetna z chemii.,Pomagała w lekcjach Adamowi.,"Gdyby nie Agnieszka, Adam by chodził w porwanych skarpetkach.",,,,noun,filler16,nonsensible,filler16,,
58,Kacper był doświadczonym taternikiem.,Zabrał Sebastiana na wycieczkę.,Sebastianowi podobała się ich wspólna wyprawa.,,,,filler,filler21,sensible,filler21,,
59,Tomek od dawna chciał zwiedzić Paryż.,Zaplanował wyjazd z Magdą.,"Jakby Tomek nie zjadł pączka, to Magda nie byłaby zła.",,,,noun,filler17,nonsensible,filler17,,
60,Igor spóźnił się na lekcję plastyki.,Usiadł w ławce razem z Albertem.,"Był zadowolony, że się udało, bo zawsze bardzo dobrze mu się pracowało z Igorem.",28.0,25.0,1.0,null,noncentered,26,target,,153.0
61,Zosia nie mogła dłużej znieść kiepskiej atmosfery w pracy.,Zrozpaczona przytuliła się do Maćka.,"Zosia przeczytała ""Lalkę"", którą Maciek omawiał na lekcji.",,,,noun,filler20,nonsensible,filler20,,
62,"Kasia żałowała, że powiedziała wszystko Janinie.",Straciła zaufanie do Janiny.,"Gdyby nie jej torebka, to Janina miałaby więcej szczęścia.",,,,pronoun,filler2,nonsensible,filler2,,
63,"Szczepan długo myślał, kogo zaprosić na wesele.",Poszedł na imprezę z Olą.,Według Szczepana największe szanse w maratonie ma Ola.,,,,noun,filler19,nonsensible,filler19,,
64,Olek nie był dobrym mężem.,Znowu zdradził Franciszkę.,Nie mogła sobie z tym poradzić.,,,,filler,filler38,sensible,filler38,,
65,Wiktor w końcu zawarł oficjalną umowę kupna wymarzonej Yamahy.,Uścisnął na koniec dłoń Pawła.,"Był zadowolony z transakcji, którą zawarł z Pawłem.",17.0,15.0,1.0,null,centered,7,target,,36.0
66,Irena bardzo niechętnie mówi o swoich finansach.,Odziedziczyła cały spadek po Konradzie.,Stała się z dnia na dzień obrzydliwie bogata.,,,,filler,filler30,sensible,filler30,,
67,Teresa była winna Marcie dwadzieścia złotych.,Wrzuciła do skrytki Marty banknot.,"Ona była zawsze umalowana, czego zazdrościła jej Marta.",,,,pronoun,filler5,nonsensible,filler5,,
68,Klara wyśmiewała ekstrawaganckie stroje Jagody.,Zawsze wytrącała Jagodę z równowagi.,Klara nigdy nie spóźniała się na korepetycje u Jagody.,,,,noun,filler6,nonsensible,filler6,,
69,Łukasz zaczął się wreszcie interesować dziewczynami.,Bardzo podoba się mu Natalia.,"Chciałby ją zaprosić na randkę, ale boi się odrzucenia.",,,,filler,filler27,sensible,filler27,,
